BP_5day,BP_15day,NvF_whitfield,Microarray Background
GB40713,GB40093,GB40030,GB40007
GB40748,GB40163,GB40069,GB40007
GB41142,GB40168,GB40071,GB40008
GB41143,GB40566,GB40075,GB40008
GB41157,GB40776,GB40077,GB40012
GB41206,GB40892,GB40083,GB40012
GB41417,GB40903,GB40091,GB40013
GB41423,GB40911,GB40113,GB40013
GB41492,GB41179,GB40119,GB40014
GB41845,GB41182,GB40146,GB40014
GB41969,GB41332,GB40150,GB40015
GB41970,GB42222,GB40155,GB40015
GB42021,GB42383,GB40164,GB40016
GB42418,GB42418,GB40168,GB40016
GB42431,GB42455,GB40222,GB40017
GB42457,GB42529,GB40240,GB40017
GB42580,GB43035,GB40254,GB40018
GB42781,GB43115,GB40278,GB40018
GB42859,GB43276,GB40280,GB40019
GB42966,GB43340,GB40283,GB40019
GB43005,GB43504,GB40301,GB40020
GB43081,GB43719,GB40319,GB40020
GB43120,GB43874,GB40327,GB40021
GB43125,GB44198,GB40335,GB40021
GB43192,GB44799,GB40338,GB40026
GB43245,GB44943,GB40399,GB40026
GB43419,GB45156,GB40431,GB40028
GB43706,GB45545,GB40434,GB40028
GB43784,GB45824,GB40445,GB40030
GB43861,GB45828,GB40448,GB40030
GB43908,GB46061,GB40456,GB40031
GB43909,GB46130,GB40462,GB40031
GB43968,GB46511,GB40483,GB40032
GB44037,GB46565,GB40498,GB40032
GB44068,GB46750,GB40510,GB40033
GB44084,GB47026,GB40539,GB40033
GB44103,GB47107,GB40541,GB40040
GB44291,GB47475,GB40545,GB40040
GB44670,GB47539,GB40562,GB40046
GB45354,GB47546,GB40566,GB40046
GB45583,GB47574,GB40576,GB40053
GB46013,GB47617,GB40590,GB40053
GB46061,GB47617,GB40615,GB40056
GB46214,GB47805,GB40672,GB40056
GB46265,GB47849,GB40690,GB40057
GB46645,GB47905,GB40710,GB40057
GB46987,GB47962,GB40713,GB40063
GB47059,GB48041,GB40727,GB40063
GB47104,GB48642,GB40746,GB40064
GB47108,GB48789,GB40747,GB40064
GB47269,GB49323,GB40765,GB40067
GB47424,GB49370,GB40769,GB40067
GB47459,GB49420,GB40776,GB40069
GB47649,GB49516,GB40778,GB40069
GB47675,GB49584,GB40800,GB40070
GB47932,GB49775,GB40801,GB40070
GB48072,GB50146,GB40810,GB40071
GB48268,GB50158,GB40843,GB40071
GB48339,GB50196,GB40857,GB40072
GB48488,GB50302,GB40863,GB40072
GB48602,GB50388,GB40866,GB40073
GB48683,GB50413,GB40873,GB40073
GB48849,GB50723,GB40882,GB40075
GB49118,GB51079,GB40903,GB40075
GB49309,GB51188,GB40906,GB40076
GB49421,GB51541,GB40908,GB40076
GB49711,GB51580,GB40923,GB40077
GB49918,GB51586,GB40980,GB40077
GB49943,GB51655,GB40997,GB40083
GB49957,GB51720,GB41025,GB40083
GB49994,GB52025,GB41028,GB40084
GB50005,GB52074,GB41039,GB40084
GB50146,GB52656,GB41068,GB40086
GB50233,GB52793,GB41078,GB40086
GB50423,GB52804,GB41084,GB40087
GB50620,GB52888,GB41129,GB40087
GB50756,GB53139,GB41131,GB40089
GB50809,GB53249,GB41142,GB40089
GB50918,GB53311,GB41143,GB40091
GB50919,GB53372,GB41148,GB40091
GB50920,GB53613,GB41159,GB40093
GB51237,GB53648,GB41163,GB40093
GB51369,GB53775,GB41171,GB40094
GB51524,GB53787,GB41183,GB40094
GB51541,GB53968,GB41188,GB40095
GB51544,GB54097,GB41220,GB40095
GB51707,GB54146,GB41225,GB40098
GB51751,GB54191,GB41227,GB40098
GB51787,GB54268,GB41262,GB40100
GB51787,GB54426,GB41270,GB40100
GB51911,GB54480,GB41284,GB40102
GB52010,GB54502,GB41289,GB40102
GB52141,GB54571,GB41304,GB40103
GB52254,GB54589,GB41308,GB40103
GB52256,GB54904,GB41332,GB40106
GB52347,GB54970,GB41339,GB40106
GB52421,GB55039,GB41373,GB40107
GB52589,GB55268,GB41386,GB40107
GB52641,GB55387,GB41413,GB40108
GB52725,GB55434,GB41414,GB40108
GB52896,GB55552,GB41439,GB40109
GB52911,GB55707,GB41445,GB40109
GB52988,GB55919,GB41452,GB40112
GB53089,,GB41486,GB40112
GB53177,,GB41490,GB40113
GB53192,,GB41491,GB40113
GB53359,,GB41507,GB40114
GB53706,,GB41523,GB40114
GB54032,,GB41525,GB40118
GB54337,,GB41562,GB40118
GB54525,,GB41569,GB40119
GB54596,,GB41603,GB40119
GB54611,,GB41616,GB40120
GB54661,,GB41638,GB40120
GB54816,,GB41643,GB40121
GB54960,,GB41659,GB40121
GB55017,,GB41670,GB40123
GB55062,,GB41700,GB40123
GB55298,,GB41724,GB40126
GB55456,,GB41725,GB40126
GB55464,,GB41742,GB40134
GB55684,,GB41755,GB40134
GB55772,,GB41760,GB40136
GB55885,,GB41778,GB40136
GB55900,,GB41803,GB40138
GB56001,,GB41806,GB40138
,,GB41809,GB40139
,,GB41841,GB40139
,,GB41845,GB40140
,,GB41866,GB40140
,,GB41889,GB40145
,,GB41902,GB40145
,,GB41968,GB40146
,,GB41979,GB40146
,,GB41999,GB40147
,,GB42011,GB40147
,,GB42015,GB40148
,,GB42039,GB40148
,,GB42043,GB40150
,,GB42088,GB40150
,,GB42140,GB40151
,,GB42141,GB40151
,,GB42223,GB40155
,,GB42224,GB40155
,,GB42230,GB40157
,,GB42237,GB40157
,,GB42260,GB40158
,,GB42264,GB40158
,,GB42281,GB40162
,,GB42296,GB40162
,,GB42298,GB40162
,,GB42312,GB40162
,,GB42314,GB40163
,,GB42350,GB40163
,,GB42351,GB40164
