nodeName	altName	nodeAttr.nodesPresent...
100049571		7
100576129	GB50301	7
100576355	GB53420	7
100576432	GB50229	7
100576449	GB52328	7
100576454	GB51558	7
100576461	GB41658	7
100576528	GB43309	7
100576617		7
100576758	GB47771	7
100576843	GB47770	7
100576853		7
100576938	GB51540	7
100576993		7
100577019	GB47508	7
100577047	GB55757	7
100577139		7
100577257		7
100577273		7
100577307	GB42470	7
100577343	GB54256	7
100577347	GB54362	7
100577393	GB54477	7
100577407		7
100577517		7
100577552	GB48567	7
100577590	GB52379	7
100577635	GB55654	7
100577751	GB55663	7
100577829	GB52027	7
100577879	GB45092	7
100577915		7
100577959	GB42339	7
100577999		7
100578068	GB41011	7
100578085	GB44452	7
100578159		7
100578201	GB42997	7
100578236		7
100578238	GB40617	7
100578388		7
100578437	GB52429	7
100578542	GB41296	7
100578557	GB53142	7
100578586	GB51441	7
100578597	GB53388	7
100578654		7
100578657		7
100578705	GB52848	7
100578726	GB44863	7
100578780	GB48763	7
100578799		7
100578810	GB46694	7
100578822	GB40932	7
100578833	GB49811	7
100578957		7
100820634		7
102653599		7
102653654		7
102653800		7
102653922		7
102654321		7
102654335		7
102654462		7
102654580		7
102654662		7
102654681		7
102654720		7
102654889		7
102654947		7
102654949		7
102655220		7
102655228		7
102655329		7
102655479		7
102655481		7
102655503		7
102655560		7
102655825		7
102656154		7
102656247		7
102656327		7
102656369		7
102656639		7
102656822		7
107963961		7
107964003		7
107964202		7
107964413		7
107964419		7
107964569		7
107964583		7
107964793		7
107964805		7
107964843		7
107964885		7
107964964		7
107965007		7
107965117		7
107965253		7
107965260		7
107965261		7
107965637		7
107966103		7
113218605		7
113218675		7
113218708		7
113218719		7
113218770		7
113218811		7
113218880		7
113218993		7
113219019		7
113219182		7
406084	GB48059	7
406097	GB47201	7
406104	GB41856	7
406112	GB52077	7
406124	GB40975	7
406148	GB53053	7
406150	GB53857	7
408276	GB48811	7
408278	GB48816	7
408282	GB50949	7
408285	GB51117	7
408297	GB51048	7
408298	GB51045	7
408316	GB44959	7
408331	GB43234	7
408332	GB43080	7
408333	GB43077	7
408335	GB43238	7
408343	GB43660	7
408351	GB45051	7
408363	GB45150	7
408364	GB45020	7
408374	GB40678	7
408381	GB49396	7
408393	GB52002	7
408423	GB40150	7
408430	GB40089	7
408434	GB40106	7
408450	GB43543	7
408463	GB54151	7
408471	GB52759	7
408489	GB41629	7
408501	GB41668	7
408509	GB50011	7
408529	GB50090	7
408548	GB54643	7
408576	GB42249	7
408594	GB45812	7
408598	GB45852	7
408623	GB50373	7
408645	GB49273	7
408656	GB55508	7
408664	GB55411	7
408685	GB55348	7
408710	GB50757	7
408716	GB43459	7
408718	GB43446	7
408722	GB46145	7
408740	GB14128	7
408759	GB49076	7
408769	GB53002	7
408774	GB52997	7
408777	GB44092	7
408786	GB44159	7
408792	GB44175	7
408801	GB40999	7
408809	GB50415	7
408822	GB52304	7
408831	GB42043	7
408842	GB44643	7
408850	GB44581	7
408877	GB46330	7
408879	GB52929	7
408905	GB48158	7
408942	GB53782	7
408960	GB54537	7
408967	GB41821	7
408976	GB53394	7
408996	GB42579	7
409001	GB42894	7
409003	GB42603	7
409018	GB42728	7
409020	GB42762	7
409032	GB46345	7
409039	GB50819	7
409051	GB46564	7
409065	GB43827	7
409084	GB54092	7
409086	GB55463	7
409093	GB46479	7
409099	GB45281	7
409107	GB44285	7
409108	GB40690	7
409142	GB44121	7
409208	GB40598	7
409217	GB42844	7
409218	GB44773	7
409242	GB52253	7
409282	GB47418	7
409310	GB42817	7
409322	GB55641	7
409325	GB40422	7
409327	GB47728	7
409371	GB40440	7
409467	GB50864	7
409468	GB40944	7
409474	GB46618	7
409497	GB48349	7
409563	GB43551	7
409573	GB46211	7
409655	GB47584	7
409680	GB49969	7
409686	GB44523	7
409690	GB47502	7
409692	GB46342	7
409695	GB49010	7
409697	GB44213	7
409704	GB51937	7
409771	GB43814	7
409792	GB42220	7
409807	GB40754	7
409817	GB45774	7
409818	GB48665	7
409829	GB50694	7
409839	GB44890	7
409845	GB54716	7
409876	GB48446	7
409882	GB46739	7
409891	GB47589	7
409893	GB53719	7
409904	GB43138	7
409908	GB51226	7
409933	GB40980	7
409936	GB45508	7
409943	GB43168	7
409953	GB54341	7
409956		7
409961	GB40057	7
409969	GB40479	7
409972	GB42372	7
409981	GB44220	7
409983	GB52985	7
409985	GB54114	7
410001	GB54272	7
410003	GB41908	7
410013	GB49705	7
410015	GB46376	7
410021	GB47499	7
410038	GB44002	7
410045	GB55793	7
410097	GB45719	7
410108	GB45259	7
410114	GB51504	7
410117	GB49186	7
410151	GB54432	7
410159	GB46332	7
410161	GB47098	7
410170	GB50957	7
410259	GB44961	7
410270	GB43191	7
410272	GB43098	7
410273	GB43220	7
410279	GB43089	7
410315	GB45071	7
410332	GB45036	7
410363	GB40629	7
410365	GB40624	7
410423	GB48247	7
410427	GB50672	7
410456	GB40126	7
410462	GB40112	7
410487	GB43546	7
410498	GB54127	7
410527	GB52779	7
410535	GB52761	7
410545	GB41740	7
410674	GB51622	7
410686	GB45518	7
410688	GB42211	7
410694	GB42304	7
410706	GB47370	7
410725	GB44798	7
410756	GB53976	7
410761	GB50332	7
410779	GB54987	7
410803	GB55503	7
410811	GB55550	7
410819	GB55403	7
410831	GB55646	7
410851	GB55668	7
410852	GB55350	7
410853	GB49778	7
410857	GB49775	7
410869	GB14733	7
410882	GB48919	7
410885	GB50858	7
410918	GB47057	7
411048	GB49567	7
411052	GB53124	7
411078	GB46759	7
411083	GB42054	7
411113	GB44482	7
411115	GB44588	7
411126	GB45709	7
411133	GB45715	7
411157	GB46325	7
411201	GB44279	7
411209	GB44017	7
411264	GB54493	7
411277	GB41894	7
411288	GB42000	7
411306	GB53431	7
411315	GB42592	7
411355	GB52168	7
411412	GB46921	7
411447	GB42666	7
411466	GB41196	7
411483	GB43502	7
411488	GB52537	7
411490	GB53323	7
411525	GB40312	7
411529	GB53155	7
411534	GB44365	7
411535	GB51464	7
411539	GB44321	7
411545	GB45689	7
411597	GB41850	7
411655	GB46983	7
411670	GB45463	7
411715	GB50626	7
411753	GB54989	7
411754	GB54291	7
411881	GB40453	7
411920	GB52812	7
411930	GB53715	7
411955	GB50749	7
411981	GB46736	7
412020	GB42963	7
412034	GB50921	7
412083	GB51333	7
412104	GB40893	7
412115	GB40500	7
412131	GB45395	7
412161	GB51667	7
412281	GB51956	7
412454	GB47950	7
412468	GB45623	7
412617	GB54210	7
412740	GB45542	7
412774	GB50538	7
412791	GB50245	7
412813	GB44821	7
412818	GB48097	7
412865	GB47258	7
412959	GB51768	7
413029	GB40480	7
413036	GB49432	7
413064	GB40217	7
413097	GB43214	7
413117	GB50434	7
413123	GB40657	7
413211	GB47120	7
413223	GB52079	7
413246	GB44237	7
413256	GB43751	7
413285	GB41662	7
413286	GB41684	7
413341	GB55808	7
413372	GB47100	7
413382	GB47146	7
413384	GB42543	7
413385	GB54395	7
413411	GB46257	7
413418	GB51649	7
413473	GB45413	7
413550	GB40053	7
413578	GB55896	7
413699	GB43261	7
413925	GB51159	7
413968	GB51545	7
413977	GB43786	7
413987	GB46960	7
413994	GB47138	7
494508		7
494511	GB51198	7
550655	GB53506	7
550732	GB49853	7
550735	GB49946	7
550930	GB45459	7
550932	GB54446	7
551010	GB43416	7
551016	GB41989	7
551061	GB45277	7
551071	GB54998	7
551085	GB53081	7
551098	GB45335	7
551170	GB55781	7
551203	GB42145	7
551207	GB51629	7
551328	GB50261	7
551349	GB46271	7
551356	GB40007	7
551460	GB55715	7
551506	GB51295	7
551555	GB42138	7
551624	GB43084	7
551647	GB42201	7
551661	GB43292	7
551670	GB44774	7
551683	GB44997	7
551685	GB45932	7
551691	GB49535	7
551706	GB54226	7
551711	GB52457	7
551735	GB45173	7
551774	GB44189	7
551826	GB49193	7
551846	GB43709	7
551883	GB55059	7
551914	GB49768	7
551984	GB46169	7
552044	GB55359	7
552094	GB44802	7
552146	GB48278	7
552171	GB49574	7
552209	GB48275	7
552224	GB42359	7
552243	GB47425	7
552294	GB40824	7
552299	GB44537	7
552309	GB47308	7
552502	GB45821	7
552505	GB44315	7
552657	GB45690	7
552684	GB41366	7
552694	GB49390	7
552700	GB44900	7
552731	GB53034	7
552735	GB54159	7
552785	GB50207	7
552843	GB44882	7
724047		7
724114	GB52864	7
724172	GB52925	7
724195	GB51630	7
724197	GB54905	7
724220	GB52956	7
724242	GB55094	7
724243	GB17084	7
724292	GB40648	7
724309	GB46001	7
724348	GB42052	7
724366	GB15953	7
724385	GB52321	7
724417	GB51041	7
724420	GB52687	7
724433	GB48685	7
724456	GB47493	7
724458	GB48760	7
724466	GB50507	7
724473	GB44046	7
724497	GB42236	7
724554	GB55392	7
724592	GB48002	7
724660	GB42489	7
724670	GB48828	7
724686	GB48224	7
724718	GB42739	7
724727	GB49375	7
724747	GB53517	7
724929	GB53582	7
724947		7
724973	GB52993	7
724991	GB55323	7
725046	GB46362	7
725051	GB45278	7
725065	GB51411	7
725076	GB42780	7
725079	GB51556	7
725088	GB49932	7
725092	GB44011	7
725098	GB42401	7
725111	GB49909	7
725119	GB50743	7
725131	GB49223	7
725189	GB40871	7
725254	GB50435	7
725281	GB55316	7
725284	GB55008	7
725336	GB12094	7
725361	GB46692	7
725406	GB46282	7
725460	GB55000	7
725482	GB48132	7
725485	GB51646	7
725524	GB48533	7
725546	GB49590	7
725589	GB55366	7
725596	GB42840	7
725707	GB45479	7
725760	GB47823	7
725775	GB51828	7
725782	GB43198	7
725864	GB46144	7
725877	GB48799	7
725885	GB52133	7
725890	GB50137	7
725930	GB55640	7
725935	GB55723	7
725950	GB51133	7
725958	GB55594	7
725959	GB55843	7
725970	GB53305	7
725983	GB54582	7
725984	GB45283	7
726019	GB43094	7
726032	GB50715	7
726044	GB55911	7
726060	GB44726	7
726093	GB50683	7
726150	GB45076	7
726188	GB46113	7
726214	GB42850	7
726231	GB55585	7
726262	GB54593	7
726322	GB52723	7
726399	GB40265	7
726456	GB50690	7
726461	GB55578	7
726474	GB52730	7
726478	GB55511	7
726493	GB52752	7
726497	GB44673	7
726524	GB51962	7
726651	GB50237	7
726768		7
726924	GB52438	7
726928	GB54094	7
726948	GB49966	7
726972		7
727008	GB41609	7
727127	GB42317	7
727135	GB41719	7
727159	GB43039	7
727185	GB41634	7
727223	GB51791	7
727238	GB41639	7
727272	GB48465	7
727308	GB43375	7
727312	GB41681	7
727370	GB51242	7
727405	GB47309	7
727455	GB48755	7
727497	GB46070	7
727574	GB51440	7
727630	GB41386	7
