Annotation Cluster 1	Enrichment Score: 4.645660912831671
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Lipid biosynthesis	8	14.285714285714285	2.316337333902221E-10	409638, 411983, 551233, 724907, 724552, 725031, 552417, 412166	46	27	6970	44.89533011272142	1.0886784362895696E-8	1.0886784362895696E-8	2.2001046540154334E-7
UP_KEYWORDS	Lipid metabolism	8	14.285714285714285	1.0827371858740184E-9	409638, 411983, 551233, 724907, 724552, 725031, 552417, 412166	46	33	6970	36.732542819499336	5.0888648739366715E-8	2.5444324647239114E-8	1.0284060936172068E-6
UP_KEYWORDS	Fatty acid metabolism	5	8.928571428571429	1.0391778904859375E-6	409638, 724552, 725031, 552417, 412166	46	13	6970	58.27759197324414	4.884019351059088E-5	1.6280329551254802E-5	9.870281800772318E-4
UP_KEYWORDS	Fatty acid biosynthesis	5	8.928571428571429	1.0391778904859375E-6	409638, 724552, 725031, 552417, 412166	46	13	6970	58.27759197324414	4.884019351059088E-5	1.6280329551254802E-5	9.870281800772318E-4
UP_KEYWORDS	Oxidoreductase	6	10.714285714285714	2.892579765576903E-4	411983, 551233, 725325, 552417, 408288, 412166	46	92	6970	9.881852551984878	0.01350506863103551	0.0033935018944983852	0.27440573753265696
GOTERM_BP_DIRECT	GO:0006633~fatty acid biosynthetic process	4	7.142857142857142	3.7393431949364E-4	409638, 724552, 725031, 412166	23	16	2339	25.42391304347826	0.007080892264205718	0.0035467357995186966	0.2799025595456639
INTERPRO	IPR002076:GNS1/SUR4 membrane protein	3	5.357142857142857	0.0010084616474248615	409638, 724552, 725031	39	8	6176	59.38461538461539	0.08126129362151013	0.027855840849834945	1.077170273499839
GOTERM_MF_DIRECT	GO:0102336~3-oxo-arachidoyl-CoA synthase activity	3	5.357142857142857	0.0017211144699754374	409638, 724552, 725031	29	8	3455	44.67672413793103	0.0503653228115184	0.0503653228115184	1.4566716620731057
GOTERM_MF_DIRECT	GO:0102337~3-oxo-cerotoyl-CoA synthase activity	3	5.357142857142857	0.0017211144699754374	409638, 724552, 725031	29	8	3455	44.67672413793103	0.0503653228115184	0.0503653228115184	1.4566716620731057
GOTERM_MF_DIRECT	GO:0102338~3-oxo-lignoceronyl-CoA synthase activity	3	5.357142857142857	0.0017211144699754374	409638, 724552, 725031	29	8	3455	44.67672413793103	0.0503653228115184	0.0503653228115184	1.4566716620731057
UP_KEYWORDS	Transferase	7	12.5	0.005246334519913579	408989, 409638, 724907, 724552, 408291, 725031, 552313	46	252	6970	4.208937198067633	0.21903645553525997	0.04036710437286928	4.873436908147088

Annotation Cluster 2	Enrichment Score: 2.014614236164464
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	18	32.142857142857146	0.007614986328536268	724583, 724552, 413168, 100577346, 551165, 552313, 409638, 411983, 724907, 724951, 725031, 727254, 406127, 551241, 410282, 552417, 725146, 412166	23	1493	3005	1.5751769125484143	0.052102494020734524	0.052102494020734524	3.864170305151826
UP_KEYWORDS	Transmembrane helix	18	32.142857142857146	0.009584927909190211	724583, 724552, 413168, 100577346, 551165, 552313, 409638, 411983, 724907, 724951, 725031, 727254, 406127, 551241, 410282, 552417, 725146, 412166	46	1504	6970	1.8134250693802034	0.36406852945562307	0.0626198348673801	8.741927285569817
UP_KEYWORDS	Transmembrane	18	32.142857142857146	0.009781064823037058	724583, 724552, 413168, 100577346, 551165, 552313, 409638, 411983, 724907, 724951, 725031, 727254, 406127, 551241, 410282, 552417, 725146, 412166	46	1507	6970	1.8098150659242376	0.36996067568231195	0.056110929919126695	8.913437323030893
UP_KEYWORDS	Membrane	18	32.142857142857146	0.012243312635508714	724583, 724552, 413168, 100577346, 551165, 552313, 409638, 411983, 724907, 724951, 725031, 727254, 406127, 551241, 410282, 552417, 725146, 412166	46	1541	6970	1.7698840391614705	0.4395343553189014	0.06230629688403333	11.042125710968808

