gene,inModule
5-ht7,0
Ancr-1,0
aub,0
bantam,0
BBIP1,0
Cox6b1,0
CPF1,0
CPF2,0
CPR1,0
CPR12,0
CSP6,0
DopR2,0
E75,0
Eif4g,0
Emc,0
GB10017,0
GB10250,0
GB10395,0
GB10422,0
GB10446,0
GB10503,0
GB10555,0
GB10565,0
GB10575,0
GB10714,0
GB10787,0
GB11132,0
GB11203,0
GB11223,0
GB11353,0
GB11398,0
GB11411,0
GB11622,0
GB11702,0
GB11704,0
GB11726,0
GB11729,0
GB11848,0
GB11862,0
GB11943,0
GB11993,0
GB12004,0
GB12020,0
GB12060,0
GB12093,0
GB12094,0
GB12155,0
GB12181,0
GB12212,0
GB12243,0
GB12262,0
GB12296,0
GB12343,0
GB12479,0
GB12493,0
GB12506,0
GB12518,0
GB12558,0
GB12637,0
GB12765,0
GB12811,0
GB12897,0
GB12898,0
GB12942,0
GB12972,0
GB13012,0
GB13072,0
GB13684,0
GB13692,0
GB13746,0
GB13748,0
GB13806,0
GB13886,0
GB13929,0
GB14026,0
GB14115,0
GB14128,0
GB14243,0
GB14259,0
GB14288,0
GB14293,0
GB14455,0
GB14502,0
GB14553,0
GB14569,0
GB14598,0
GB14620,0
GB14733,0
GB14753,0
GB14793,0
GB14841,0
GB14937,0
GB14943,0
GB14946,0
GB14963,0
GB14998,0
GB15085,0
GB15087,0
GB15106,0
GB15109,0
GB15119,0
GB15128,0
GB15216,0
GB15285,0
GB15384,0.72366491902789
GB15436,0
GB15446,0
GB15623,0
GB15667,0
GB15711,0
GB15798,0
GB15805,0
GB15814,0
GB15924,0
GB15953,0
GB15968,0
GB16006,0
GB16100,0
GB16303,0
GB16306,0
GB16339,0
GB16351,0
GB16485,0
GB16493,0
GB16496,0
GB16665,0
GB16670,0
GB16679,0
GB16725,0
GB16765,0
GB16891,0
GB17084,0
GB17100,0
GB17175,0
GB17364,0
GB17444,0
GB17447,0
GB17579,0
GB17597,0
GB17617,0
GB17622,0
GB17625,0
GB17627,0
GB17637,0
GB17655,0
GB17754,0
GB17757,0
GB17781,0
GB17791,0
GB17793,0
GB17859,0
GB17883,0
GB17977,0
GB18049,0
GB18136,0
GB18300,0
GB18327,0
GB18353,0
GB18386,0
GB18954,0
GB19003,0
GB19037,0
GB19069,0
GB19079,0
GB19145,0
GB19146,0
GB19279,0
GB19338,0
GB19408,0
GB19515,0
GB19797,0
GB19920,0
GB19967,0
GB19975,0
GB20047,0
GB20104,0
GB30104,0
GB40007,0
GB40012,0
GB40013,0
GB40014,0
GB40015,0
GB40016,0
GB40017,0
GB40021,0
GB40022,0
GB40027,0
GB40028,0
GB40030,0
GB40031,0
GB40032,0
GB40033,0
GB40047,0
GB40053,0
GB40057,0
GB40061,0
GB40063,0
GB40067,0
GB40069,0
GB40070,0
GB40071,0
GB40072,0
GB40073,0
GB40075,0
GB40076,0
GB40077,0
GB40083,0
GB40085,0
GB40086,0
GB40089,0
GB40091,0
GB40092,0
GB40093,0
GB40094,0
GB40095,0
GB40098,0
GB40100,0
GB40106,0
GB40107,0
GB40108,0
GB40109,0
GB40110,0
GB40112,0
GB40113,0
GB40118,0
GB40119,0
GB40120,0
GB40122,0
GB40123,0
GB40125,0
GB40126,0
GB40128,0
GB40134,0
GB40135,0
GB40137,0
GB40138,0
GB40139,0
GB40140,0
GB40141,0
GB40142,0
GB40143,0
GB40145,0
GB40146,0
GB40147,0
GB40148,0
GB40150,0
GB40151,0
GB40155,0
GB40157,0
GB40158,0
GB40159,0
GB40162,0
GB40168,0
GB40183,0
GB40184,0
GB40186,0
GB40187,0
GB40189,0
GB40192,0
GB40195,0
GB40197,0
GB40200,0
