background,MEdarkgrey,MElightgreen,MEpink,MEdarkgreen,MEcyan,MElightcyan,MEyellow,MEsteelblue,MEskyblue,MEsaddlebrown,MEsalmon,MEgreenyellow,MEorange,MEmidnightblue,MEwhite,MEred,MEbrown,MEviolet,MEgrey60,MEdarkorange,MElightyellow,MEmagenta,MEpurple
5-ht7,GB40021,GB11848,GB14998,GB17100,GB40077,GB11223,CPF2,GB40206,GB40270,GB18386,CPR1,GB12942,GB40364,GB12479,GB40440,CPR12,bantam,GB16670,GB12212,GB14753,GB15109,aub,GB15085
Ancr-1,GB40120,GB40405,GB15446,GB40112,GB40109,GB11943,GB11132,GB40511,GB41120,GB40269,GB40033,GB40237,GB40467,GB12898,GB40453,GB10395,E75,GB41297,GB18300,GB16665,GB40147,GB12493,GB15216
aub,GB40148,GB40907,GB40200,GB40158,GB40261,GB12972,GB11862,GB40671,GB41444,GB40388,GB40207,GB40473,GB40545,GB15623,GB40480,GB11353,GB10017,GB41742,GB40012,GB17444,GB40159,GB17757,GB17175
bantam,GB40673,GB41033,GB40201,GB40234,GB40390,GB13748,GB12020,GB41119,GB42077,GB40665,GB40363,GB40494,GB41069,GB16765,GB40592,GB12094,GB14502,GB41758,GB40086,GB40119,GB40203,GB17859,GB19037
BBIP1,GB41863,GB41228,GB40382,GB40240,GB40513,GB15106,GB12637,GB41288,GB43636,GB40672,GB40392,GB40591,GB41117,GB19146,GB40893,GB14128,GB14841,GB42217,GB40157,GB40278,GB40299,GB18353,GB40075
Cox6b1,GB41912,GB41339,GB40409,GB40304,GB40608,GB40092,GB12811,GB41423,GB44040,GB40894,GB40543,GB40784,GB41136,GB19279,GB41196,GB14733,GB15968,GB42401,GB40337,GB40431,GB40425,GB19967,GB40134
CPF1,GB42239,GB41428,GB40549,GB40603,GB40728,GB40125,GB13072,GB41487,GB44539,GB41169,GB40614,GB40797,GB41293,GB40192,GB41634,GB14793,GB16006,GB42797,GB40531,GB40439,GB40478,GB20047,GB40218
CPF2,GB42427,GB41778,GB40604,GB40619,GB40770,GB40212,GB13692,GB41670,GB44592,GB41205,GB40654,GB40923,GB41304,GB40355,GB41745,GB15285,GB16306,GB43087,GB40567,GB40708,GB40712,GB40145,GB40228
CPR1,GB42624,GB42298,GB40635,GB40839,GB40771,GB40426,GB14569,GB41836,GB44731,GB41289,GB40802,GB41083,GB41449,GB40445,GB41847,GB17084,GB16891,GB43718,GB40716,GB40718,GB40809,GB40222,GB40271
CPR12,GB42802,GB42370,GB40701,GB41325,GB40838,GB41212,GB16100,GB42058,GB44826,GB41399,GB41215,GB41141,GB41692,GB40446,GB41852,GB17597,GB17627,GB45034,GB40874,GB40783,GB41643,GB40424,GB40498
