Sample,Pheromone,Food,Lane,SampleID
BP_1_pol_S1_L001,BP,Pollen,L001,S1
BP_1_pol_S1_L002,BP,Pollen,L002,S1
BP_1_pol_S1_L003,BP,Pollen,L003,S1
BP_1_pol_S1_L004,BP,Pollen,L004,S1
BP_2_pol_S2_L001,BP,Pollen,L001,S2
BP_2_pol_S2_L002,BP,Pollen,L002,S2
BP_2_pol_S2_L003,BP,Pollen,L003,S2
BP_2_pol_S2_L004,BP,Pollen,L004,S2
BP_3_pol_S3_L001,BP,Pollen,L001,S3
BP_3_pol_S3_L002,BP,Pollen,L002,S3
BP_3_pol_S3_L003,BP,Pollen,L003,S3
BP_3_pol_S3_L004,BP,Pollen,L004,S3
BP_N_1_S4_L001,BP,Nectar,L001,S4
BP_N_1_S4_L002,BP,Nectar,L002,S4
BP_N_1_S4_L003,BP,Nectar,L003,S4
BP_N_1_S4_L004,BP,Nectar,L004,S4
BP_N_2_S5_L001,BP,Nectar,L001,S5
BP_N_2_S5_L002,BP,Nectar,L002,S5
BP_N_2_S5_L003,BP,Nectar,L003,S5
BP_N_2_S5_L004,BP,Nectar,L004,S5
BP_N_3_S6_L001,BP,Nectar,L001,S6
BP_N_3_S6_L002,BP,Nectar,L002,S6
BP_N_3_S6_L003,BP,Nectar,L003,S6
BP_N_3_S6_L004,BP,Nectar,L004,S6
Oci_1_pol_S7_L001,EBO,Pollen,L001,S7
Oci_1_pol_S7_L002,EBO,Pollen,L002,S7
Oci_1_pol_S7_L003,EBO,Pollen,L003,S7
Oci_1_pol_S7_L004,EBO,Pollen,L004,S7
Oci_2_pol_S8_L001,EBO,Pollen,L001,S8
Oci_2_pol_S8_L002,EBO,Pollen,L002,S8
Oci_2_pol_S8_L003,EBO,Pollen,L003,S8
Oci_2_pol_S8_L004,EBO,Pollen,L004,S8
Oci_3_pol_S9_L001,EBO,Pollen,L001,S9
Oci_3_pol_S9_L002,EBO,Pollen,L002,S9
Oci_3_pol_S9_L003,EBO,Pollen,L003,S9
Oci_3_pol_S9_L004,EBO,Pollen,L004,S9
O_N_1_S10_L001,EBO,Nectar,L001,S10
O_N_1_S10_L002,EBO,Nectar,L002,S10
O_N_1_S10_L003,EBO,Nectar,L003,S10
O_N_1_S10_L004,EBO,Nectar,L004,S10
O_N_2_S11_L001,EBO,Nectar,L001,S11
O_N_2_S11_L002,EBO,Nectar,L002,S11
O_N_2_S11_L003,EBO,Nectar,L003,S11
O_N_2_S11_L004,EBO,Nectar,L004,S11
O_N_3_S12_L001,EBO,Nectar,L001,S12
O_N_3_S12_L002,EBO,Nectar,L002,S12
O_N_3_S12_L003,EBO,Nectar,L003,S12
O_N_3_S12_L004,EBO,Nectar,L004,S12
X_1_pol_S13_L001,Control,Pollen,L001,S13
X_1_pol_S13_L002,Control,Pollen,L002,S13
X_1_pol_S13_L003,Control,Pollen,L003,S13
X_1_pol_S13_L004,Control,Pollen,L004,S13
X_2_pol_S14_L001,Control,Pollen,L001,S14
X_2_pol_S14_L002,Control,Pollen,L002,S14
X_2_pol_S14_L003,Control,Pollen,L003,S14
X_2_pol_S14_L004,Control,Pollen,L004,S14
X_3_pol_S15_L001,Control,Pollen,L001,S15
X_3_pol_S15_L002,Control,Pollen,L002,S15
X_3_pol_S15_L003,Control,Pollen,L003,S15
X_3_pol_S15_L004,Control,Pollen,L004,S15
X_N_1_S16_L001,Control,Nectar,L001,S16
X_N_1_S16_L002,Control,Nectar,L002,S16
X_N_1_S16_L003,Control,Nectar,L003,S16
X_N_1_S16_L004,Control,Nectar,L004,S16
X_N_2_S17_L001,Control,Nectar,L001,S17
X_N_2_S17_L002,Control,Nectar,L002,S17
X_N_2_S17_L003,Control,Nectar,L003,S17
X_N_2_S17_L004,Control,Nectar,L004,S17
X_N_3_S18_L001,Control,Nectar,L001,S18
X_N_3_S18_L002,Control,Nectar,L002,S18
X_N_3_S18_L003,Control,Nectar,L003,S18
X_N_3_S18_L004,Control,Nectar,L004,S18
