"","target.id","GeneID","BeeBase","accession"
"1","rna0","551580","GB42195","XM_623972.6"
"2","rna3","551555","GB42138","XM_006557405.3"
"3","rna4","551555","GB42138","XM_006557404.3"
"4","rna5","551555","GB42138","XM_623949.6"
"5","rna6","551555","GB42138","XM_006557406.3"
"6","rna7","726347","GB42194","XM_026446303.1"
"7","rna8","409940","GB42139","XM_026439913.1"
"8","rna9","409940","GB42139","NM_001242554.1"
"9","rna10","726145","GB42193","XM_016917677.1"
"10","rna11","726145","GB42193","XM_016917679.2"
"11","rna12","551448","GB42140","XM_016917662.2"
"12","rna13","551448","GB42140","XM_026440071.1"
"13","rna14","551448","GB42140","XM_016917667.2"
"14","rna15","551448","GB42140","XM_006557400.3"
"15","rna16","551448","GB42140","XM_016917672.2"
"16","rna17","410665","GB42192","XM_394142.7"
"17","rna18","408567","GB42141","XM_392111.7"
"18","rna19","107964061",NA,"XM_016910851.2"
"19","rna20","107964061",NA,"XM_016910856.2"
"20","rna22","113219112",NA,"XM_026443867.1"
"21","rna23","726450","GB42142","XM_006557392.2"
"22","rna25","113219111",NA,"XM_026443863.1"
"23","rna26","410664","GB42190","XM_006557389.3"
"24","rna27","410664","GB42190","XM_026443894.1"
"25","rna28","410664","GB42190","XM_394141.4"
"26","rna29","410664","GB42190","XM_006557388.1"
"27","rna30","408565","GB42143","XM_006557391.3"
"28","rna31","408565","GB42143","XM_392109.6"
"29","rna32","408565","GB42143","XM_016910832.2"
"30","rna33","410663","GB42189","XM_006557387.3"
"31","rna34","410663","GB42189","XM_394140.7"
"32","rna35","113219398",NA,"XM_026446104.1"
"33","rna36","726544","GB42188","XM_016910793.2"
"34","rna37","726544","GB42188","XM_006557376.3"
"35","rna38","726544","GB42188","XM_016910803.2"
"36","rna39","726544","GB42188","XM_006557380.3"
"37","rna40","726544","GB42188","XM_006557381.3"
"38","rna41","726544","GB42188","XM_001122271.5"
"39","rna42","726544","GB42188","XM_006557386.3"
"40","rna43","726544","GB42188","XM_006557383.3"
"41","rna44","726544","GB42188","XM_006557382.3"
"42","rna45","726544","GB42188","XM_006557384.3"
"43","rna46","726544","GB42188","XM_006557379.3"
"44","rna47","726544","GB42188","XM_006557385.3"
"45","rna48","726544","GB42188","XM_016910810.2"
"46","rna64","410772","GB42186","XM_026444102.1"
"47","rna65","410772","GB42186","XM_394248.6"
"48","rna66","551203","GB42145","XM_026446225.1"
"49","rna67","551203","GB42145","XM_026446229.1"
"50","rna68","551203","GB42145","XM_026446228.1"
"51","rna69","551203","GB42145","XM_026446230.1"
"52","rna70","551203","GB42145","XM_026446227.1"
"53","rna71","551203","GB42145","XM_026446232.1"
"54","rna72","551203","GB42145","XM_026446234.1"
"55","rna73","551203","GB42145","XM_026446237.1"
"56","rna74","551203","GB42145","XM_026446226.1"
"57","rna75","551203","GB42145","XM_026446233.1"
"58","rna76","551203","GB42145","XM_026446235.1"
"59","rna77","551203","GB42145","XM_026446236.1"
"60","rna78","551203","GB42145","XM_026446231.1"
"61","rna79","100578621","GB42184","XM_026446241.1"
"62","rna80","100578621","GB42184","XM_026446239.1"
"63","rna81","100578621","GB42184","XM_016910677.2"
"64","rna82","100578621","GB42184","XM_026446240.1"
"65","rna83","100578621","GB42184","XM_026446242.1"
"66","rna84","726446",NA,"XM_001120565.5"
"67","rna85","100578600","GB42183","XM_003249064.4"
"68","rna86","410771","GB42150","XM_016918148.2"
"69","rna87","410771","GB42150","XM_016918144.2"
"70","rna88","410771","GB42150","XM_006557369.3"
"71","rna89","410771","GB42150","XM_016918147.2"
"72","rna90","410771","GB42150","XM_006557372.3"
"73","rna91","100578571","GB42182","XM_016910683.2"
"74","rna94","102654047",NA,"XM_006557374.3"
"75","rna95","100577692","GB42180","XM_026441502.1"
"76","rna100","410769","GB42152","XM_394245.6"
"77","rna101","410769","GB42152","XM_016916693.2"
"78","rna102","100216325",NA,"NM_001141964.1"
"79","rna104","100578334","GB42177","XM_003249062.4"
"80","rna106","726756","GB42155","XM_001122476.5"
"81","rna108","410767","GB42156","NM_001204751.1"
"82","rna111","726609","GB11203","XM_006557359.3"
"83","rna112","726609","GB11203","XM_016914916.2"
"84","rna113","726609","GB11203","XM_006557358.3"
"85","rna114","726788","GB42173","XM_001122509.5"
"86","rna115","100578031","GB42172","XM_006557357.3"
"87","rna116","100578031","GB42172","XM_016917835.2"
"88","rna117","100578031","GB42172","XM_026441961.1"
"89","rna118","100578031","GB42172","XM_016917834.2"
"90","rna120","410766","GB42159","XM_006557355.2"
"91","rna121","410766","GB42159","XM_006557354.2"
"92","rna122","410766","GB42159","XM_026446332.1"
"93","rna123","551646","GB42170","XM_026446257.1"
"94","rna125","113219417",NA,"XM_026446333.1"
"95","rna126","113219404",NA,"XM_026446258.1"
"96","rna127","551678","GB42168","XM_006557352.3"
"97","rna128","551678","GB42168","XM_624067.5"
"98","rna130","726886",NA,"XM_026439854.1"
"99","rna133","408626","GB42161","XM_006557350.3"
"100","rna134","408626","GB42161","XM_006557351.3"
"101","rna135","408626","GB42161","XM_016917789.2"
"102","rna136","408626","GB42161","XM_016917790.2"
"103","rna138","726912","GB42164","XM_016917650.2"
"104","rna139","726912","GB42164","XM_026440446.1"
"105","rna157","113218530",NA,"XM_026446031.1"
"106","rna159","100576700","GB47718","XM_006558554.3"
"107","rna160","100576700","GB47718","XM_026446034.1"
"108","rna161","100576700","GB47718","XM_006558552.3"
"109","rna162","100576700","GB47718","XM_026446033.1"
"110","rna172","724948","GB47719","XM_026446035.1"
"111","rna173","724948","GB47719","XM_006558620.3"
"112","rna174","100576789","GB47720","XM_003249303.4"
"113","rna175","100576789","GB47720","XM_026446036.1"
"114","rna176","113219394",NA,"XM_026446039.1"
"115","rna177","113219394",NA,"XM_026446038.1"
"116","rna178","113219394",NA,"XM_026446043.1"
"117","rna179","113219394",NA,"XM_026446037.1"
"118","rna181","113219394",NA,"XM_026446045.1"
"119","rna182","113219394",NA,"XM_026446047.1"
"120","rna183","113219394",NA,"XM_026446041.1"
"121","rna184","113219394",NA,"XM_026446046.1"
"122","rna185","113219394",NA,"XM_026446042.1"
"123","rna186","113219394",NA,"XM_026446044.1"
"124","rna187","113219394",NA,"XM_026446040.1"
"125","rna188","100576820","GB47721","XM_026446049.1"
"126","rna189","724874","GB47723","XM_003249306.4"
"127","rna190","724874","GB47723","XM_006558561.3"
"128","rna191","724874","GB47723","XM_016910716.2"
"129","rna192","724874","GB47723","XM_026446048.1"
"130","rna193","751098","GB47694","XM_026442989.1"
"131","rna194","751098","GB47694","XM_026442949.1"
"132","rna195","751098","GB47694","XM_026442921.1"
"133","rna196","751098","GB47694","XM_026442862.1"
"134","rna197","751098","GB47694","NM_001077823.2"
"135","rna198","113219395",NA,"XM_026446050.1"
"136","rna199","410763","GB47689","XM_006558574.3"
"137","rna200","100576088","GB47724","XM_026446259.1"
"138","rna201","410765","GB47725","XM_003249309.4"
"139","rna202","113219396",NA,"XM_026446051.1"
"140","rna203","408625","GB47687","XM_026446052.1"
"141","rna204","113218523",NA,"XM_006558575.3"
"142","rna208","724679","GB47727","XM_026444468.1"
"143","rna213","409327","GB47728","XM_397559.7"
"144","rna214","409327","GB47728","XM_026446238.1"
"145","rna215","409327","GB47728","XM_026446243.1"
"146","rna216","409327","GB47728","XM_006558576.3"
"147","rna217","409327","GB47728","XM_006558577.3"
"148","rna220","724537","GB47732","XM_001120426.5"
"149","rna221","724537","GB47732","XM_016912272.2"
"150","rna222","102655107",NA,"XM_006558578.3"
"151","rna223","409620","GB47683","XM_026439223.1"
"152","rna224","409620","GB47683","XM_026439220.1"
"153","rna225","100577325","GB47734","XM_003249312.4"
"154","rna226","100577325","GB47734","XM_003249313.4"
"155","rna228","551204","GB47735","XM_623599.6"
"156","rna229","724372",NA,"XM_006558582.3"
"157","rna230","724372",NA,"XM_006558581.3"
"158","rna231","725343","GB47736","XM_026446194.1"
"159","rna232","725306","GB47680","XM_006558584.3"
"160","rna233","725306","GB47680","XM_006558583.3"
"161","rna234","409930","GB47679","XM_393421.5"
"162","rna235","409931","GB47678","XM_016912185.2"
"163","rna236","409931","GB47678","XM_393422.7"
"164","rna238","100578066",NA,"XM_006558591.3"
"165","rna239","100578066",NA,"XM_006558590.3"
"166","rna240","100578066",NA,"XM_006558588.3"
"167","rna241","100578066",NA,"XM_026444753.1"
"168","rna242","100578066",NA,"XM_006558587.3"
"169","rna243","100578066",NA,"XM_006558593.3"
"170","rna244","100578066",NA,"XM_026444772.1"
"171","rna250","411665","GB47675","XM_006558585.3"
"172","rna251","411665","GB47675","XM_395133.6"
"173","rna252","411665","GB47675","XM_006558586.3"
"174","rna253","411665","GB47675","XM_016912197.2"
"175","rna263","725041","GB47740","XM_001120937.5"
"176","rna264","100578245","GB47670","XM_006558598.3"
"177","rna265","100578245","GB47670","XM_006558597.3"
"178","rna266","100578245","GB47670","XM_003249288.4"
"179","rna267","100578245","GB47670","XM_006558596.3"
"180","rna268","409852","GB47669","XM_393342.7"
"181","rna273","102654804",NA,"XM_006558622.3"
"182","rna276","413835","GB47741","XM_397274.7"
"183","rna277","413835","GB47741","XM_003249289.4"
"184","rna279","413835","GB47741","XM_006558601.3"
"185","rna280","413834","GB47743","XM_016917618.2"
"186","rna281","413834","GB47743","XM_026446280.1"
"187","rna282","413834","GB47743","XM_006558603.3"
"188","rna283","413834","GB47743","XM_397273.7"
"189","rna284","113219407",NA,"XM_026446281.1"
"190","rna285","409999","GB47668","XM_006558606.3"
"191","rna286","409999","GB47668","XM_393487.7"
"192","rna287","727331","GB47744","XM_026446282.1"
"193","rna288","412118","GB47667","XM_395584.7"
"194","rna289","726902","GB47745","XM_001121025.5"
"195","rna290","552064","GB47746","XM_624443.4"
"196","rna291","552064","GB47746","XM_006558608.3"
"197","rna292","409479","GB47747","XM_006558609.2"
"198","rna293","413609","GB47748","NM_001214904.1"
"199","rna294","413609","GB47748","XM_026440906.1"
"200","rna295","413609","GB47748","XM_026440876.1"
"201","rna296","552163","GB47666","XM_006558610.3"
"202","rna297","552163","GB47666","XM_016917865.2"
"203","rna298","552163","GB47666","XM_016917864.2"
"204","rna299","727019","GB47663","XM_006558611.3"
"205","rna300","100578696","GB47749","XM_006558613.3"
"206","rna301","100578696","GB47749","XM_016917798.2"
"207","rna302","412925","GB47662","XM_396376.7"
