"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"552447",2710.9967946992,-2.97832135840142,0.78987151272085,-3.77064030090423,0.000162829227960703,0.016982348343447
"725026",264.205361777634,-2.70346934422939,0.438883255786704,-6.15988263070868,7.27988791129201e-10,3.03703687499264e-07
"408361",2197.70064720154,-2.43359570725868,0.509291282299554,-4.77839655191132,1.76698632300816e-06,0.000401023704424126
"100576118",379.168007524883,-2.41492496929715,0.711635889090764,-3.39348395200055,0.000690096018661115,0.0427952787788629
"100577198",1046.70725837155,-2.13382733458257,0.329982362065067,-6.46648906089658,1.00306084895618e-10,4.84531182722096e-08
"724865",760.548222673562,-2.0936601095745,0.615012472242552,-3.40425634286778,0.000663444603041981,0.0417061271693103
"768250",680.705526953229,-2.00052753539457,0.571256699914211,-3.50197649444636,0.000461820359903205,0.0321105095696334
"551837",822.020573771087,-1.87705477219366,0.318988772377893,-5.88439134769919,3.99521492265988e-09,1.41031086769894e-06
"550791",2923.48183881411,-1.83787497361061,0.483121213382301,-3.80416947693885,0.000142280747793362,0.0155662384079706
"724951",360.64830642537,-1.82162504696192,0.349594730192623,-5.21067650521568,1.88153278779115e-07,5.0790317430433e-05
"551233",10386.6795368823,-1.80150269029104,0.214098201726355,-8.41437562653418,3.9499311087219e-17,7.25049354316992e-14
"408395",339.387756816278,-1.79916134975767,0.215733765257407,-8.33972997973204,7.44603662850542e-17,1.13899540294038e-13
"409602",579.300798986283,-1.74779243579209,0.202824849110629,-8.61725002363381,6.85812740089346e-18,2.09812977618001e-14
"724552",728.715014244627,-1.60119038518636,0.30400789773613,-5.26693680364892,1.38718933484933e-07,3.85806779249914e-05
"725343",3966.60558138451,-1.58532576149127,0.178406625504579,-8.88602515185501,6.33340257946179e-19,2.90639844371502e-15
"411983",1288.59297876061,-1.57712178260062,0.149074828207422,-10.5793969482643,3.7134054853619e-26,3.40816355446515e-22
"725325",482.684913931911,-1.55838507307584,0.22395397115401,-6.95850609411234,3.4389986837987e-12,1.97269561999403e-09
"113218789",255.046705564516,-1.50039113898919,0.438515987654892,-3.42151981051597,0.000622721881593539,0.0404073233630061
"726251",132.790414916023,-1.47196336959386,0.274142288181599,-5.36934078779846,7.90249662222426e-08,2.33964883867014e-05
"725031",1608.62999470168,-1.45111833780383,0.193624400845257,-7.49450137208458,6.65508719203014e-14,5.89227878189679e-11
"725489",336.83649546131,-1.43896733947343,0.188814553341608,-7.62106158665646,2.51597859279177e-14,2.56573905829365e-11
"104794352",48.6521900889328,-1.42717223235843,0.342577533559359,-4.16598314994622,3.10013600938638e-05,0.00458920133776584
"551765",568.786435694318,-1.41229792378828,0.29492005086384,-4.7887484070736,1.6782472923535e-06,0.000394947529467191
"727007",189.383161936877,-1.36960354150772,0.390194172830234,-3.51005636904682,0.000448011707442665,0.0320572199155188
"409816",514.391442463954,-1.34991996494486,0.32648736972405,-4.13467744888821,3.55453515164599e-05,0.00514939350730138
"411272",2999.93940296059,-1.34047713913837,0.157570914349134,-8.50713562636462,1.78282942531827e-17,4.09070211639278e-14
"410489",3411.58687160051,-1.29480970435609,0.212747172928924,-6.08614293919982,1.15663189068499e-09,4.61546412726385e-07
"550804",2821.65865770275,-1.2651268877658,0.168982961051708,-7.486712742468,7.06200333415392e-14,5.89227878189679e-11
"724907",415.024656408491,-1.22137334757955,0.319935085883528,-3.81756612972479,0.000134774668822627,0.0150849013470008
"412166",12393.7004687753,-1.1764145885477,0.14987769364968,-7.84916394094926,4.18819846450698e-15,4.80491068840563e-12
"408989",3264.61953647394,-1.15316941749038,0.155464386318183,-7.41757932347435,1.19280251555336e-13,8.42118575980669e-11
"100578341",59.9951087440978,-1.11564321207895,0.219823567507173,-5.0751756271199,3.8713825521224e-07,0.000101518711609655
