"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GB53576",59820.1963925568,1.70460797821847,0.579458480313443,30.8263934440884,2.02364214287711e-07,3.8600444522055e-06
"GB43276",79268.2762377843,-0.412138854047816,0.0665085048212643,38.4135596912415,4.55618655261395e-09,1.5587532599975e-07
"GB40866",63935.9347774787,-0.426442771336201,0.110271555107314,22.4878377934556,1.30866373663893e-05,0.000126227195338242
"GB42984",73499.4116275694,-0.223627004346078,0.0705826029563848,30.6358912272888,2.22587486772648e-07,4.16486644971519e-06
"GB42039",73895.6478204469,0.227069690147863,0.118801684410076,7.7315995273309,0.0209461637557504,0.05231826104661
"GB40735",54957.1624287548,0.282845786150337,0.0336973035409018,70.5508974207341,4.78704244712651e-16,7.27231531759302e-14
"GB40976",33773.6647592285,-0.850086184531654,0.248273784761412,19.7217866974588,5.21757177384076e-05,0.000388683207273684
"GB49775",73256.0249478513,-0.0598544044467957,0.0991883298527476,7.90051728937647,0.0192497222930353,0.0488458353910168
"GB50226",39275.1256407664,-0.235932147449874,0.0803316216290466,11.0035270707851,0.00407957062370308,0.0140397520844323
"GB50942",51709.5172038271,0.141171113589573,0.0312149785094447,27.1508413590182,1.27136341336602e-06,1.82495708863484e-05
"GB50048",59684.0629882927,0.12184895317562,0.115036091713938,6.18457792270306,0.0453979212988717,0.0965216384030159
"GB53748",41036.3976950292,-0.238874229797866,0.0708552818469283,15.2482720910057,0.000488517117817957,0.00243609493570729
"GB43247",19341.5987719775,1.21394864853732,0.543662566469898,43.7201029062269,3.20848696908418e-10,1.51083033994403e-08
"GB46145",42109.0333130448,-0.00911352089032678,0.0788802167293236,3.3242125127399,0.189738920125841,0.291999319793277
"GB50009",31051.3631577375,0.158133430124818,0.0919703702203812,5.67932405176293,0.0584454156647107,0.118047158799837
"GB40626",48265.7644901408,0.210279789859312,0.135915125527607,4.4517839819564,0.107971066451398,0.189677695345028
"GB52643",23577.3518081214,-0.234728062852715,0.0615793316435437,14.5816398703387,0.00068176881728864,0.00319972485377725
"GB54507",26302.3813747201,-0.530940462991306,0.164751490228493,14.5140700376146,0.000705195831316495,0.00328910965037639
"GB48454",31390.2594269335,-0.205259473972358,0.0770641060244302,14.3995825940474,0.00074674163931758,0.00345009777673122
"GB52467",22791.328171419,0.0431210041125907,0.0689113307295931,7.43500898580487,0.024294519406453,0.0586386158777656
"GB44549",21471.4652203681,1.36153707855032,0.558493143592715,23.137581375164,9.4566658177381e-06,9.62332635567431e-05
"GB46564",26447.3921836141,-0.0066158023191548,0.0807477718451911,49.4790709048784,1.80200614718956e-11,1.21028423390979e-09
"GB49223",41734.9571012054,-0.0740258340519327,0.15668015174996,3.6165946431795,0.163933024528864,0.26139564238571
"GB46713",21018.0281075296,0.0604135280628235,0.0356076645982524,9.42900968881258,0.00896430369324787,0.0264310257461959
"GB53305",29355.6882896956,0.136138336210418,0.100064397731879,9.19472687804387,0.0100783729906768,0.0290185283695909
"GB52212",17411.4036174109,-0.273035740347475,0.056196638891821,47.8444400118919,4.08048566547909e-11,2.42191058498506e-09
"GB52466",18048.7743829575,0.111140913269199,0.0835519952980807,2.29516966895699,0.317402423806212,0.431901506738225
"GB49397",20286.8019423391,-0.423610656711602,0.0863185083012628,26.2739298349811,1.97100909087044e-06,2.64202174460059e-05
"GB44091",20925.7324213642,0.00984236499894303,0.0883708472513002,26.1214292365739,2.12717740655579e-06,2.80133239267889e-05
"GB54303",17834.6389684423,-0.280646763361046,0.0797167564397136,12.9493947461592,0.00154196550701986,0.00628183284341708
"GB43245",18651.364378476,-0.315697063452271,0.0621648467906185,29.1262104471748,4.73504119814941e-07,8.02441709556236e-06
"GB49410",18076.8435009824,0.0602319841806613,0.0273223935572073,6.55236043282434,0.0377722634670077,0.0835955348772954
"GB45951",16216.3915256888,-0.0491730997964647,0.068431628071396,0.530884869281181,0.766866586565719,0.827287556950304
"GB47100",16355.0759570716,0.070022244037271,0.0855995471104223,3.46455116498032,0.176881443336569,0.27672413569555
"GB47148",15480.9164508092,-0.284430221883806,0.0811582423881555,12.7814687976747,0.00167702414445211,0.00670231916923062
"GB54127",21902.9904375007,0.0244841447012164,0.0749241333623307,10.3568868747941,0.00563677358026899,0.0181643605196497
"GB53394",19501.7517915593,0.0834474915580493,0.0800588772167834,3.15907545977143,0.206070336348248,0.310945200678727
"GB42054",19811.7703278673,-0.554434922630166,0.123239604757896,24.8904758838846,3.93642368137204e-06,4.69464510261575e-05
"GB40759",14907.7138223634,0.121709664746092,0.0705651574872833,5.45680267685952,0.0653236366256702,0.129019490323507
"GB44133",15528.4908951203,-0.0907253762513717,0.0301258714019749,9.41443105283338,0.00902988608850157,0.0265752713042824
"GB45377",15038.1166002303,-0.108462347728845,0.054044643782536,19.8722153399965,4.83953090207244e-05,0.000365211436081292
"GB45707",19270.9853580444,0.15098629664467,0.103268313534206,5.84061267308562,0.0539171679714138,0.110474788131537
"GB54593",16434.2881326218,0.0917188396856663,0.0771218433484713,1.53046603585472,0.465225512458408,0.573321367888145
"GB52107",14519.9666650439,-0.0383542307097341,0.0490195742631907,1.18467940764185,0.553031839138837,0.652602117556011
"GB42422",15482.4230772556,0.0206775962666158,0.0610913369272326,2.94374009802937,0.229495915043498,0.337805015463389
"GB40010",20097.7638314979,0.335878925362139,0.113599073737036,21.1160952216853,2.59835318541879e-05,0.000218514860452354
"GB46425",15791.2390842035,0.0600827681478852,0.0281903593728438,36.7935367296709,1.02420057260027e-08,3.08625863459679e-07
"GB48002",16517.7080464702,0.126505722108869,0.0647989687700563,6.57386769528489,0.037368250670612,0.0828882751273561
"GB45265",14080.4483298613,-0.293876162219388,0.0631900868518606,21.6188723027533,2.02079159546884e-05,0.000179203068448769
"GB52028",14929.9705467457,0.0102717738978438,0.0351398161688096,1.89151467202214,0.388385321302915,0.502299086363281
"GB49705",14945.5859791612,-0.0133600156189853,0.0460514986265677,0.0979736739552663,0.952193663362503,0.965279896581577
"GB43293",14822.2821373209,-0.135693699796919,0.0512956424053924,12.8981907112739,0.00158195262613693,0.00640053819344749
"GB55650",14873.8739821756,-0.218495158288206,0.0863713506720081,7.89289347593581,0.0193232404720067,0.0489739566362022
"GB53968",12696.5733366887,0.0588678034476146,0.0521132740159092,3.13462750674057,0.208604794318318,0.313841756696069
"GB42000",16631.6065313346,0.148302819288586,0.0814886519904067,19.0105358325322,7.44585534985122e-05,0.000523507218288989
"GB51158",14642.0141630714,0.180971756213546,0.0857762299827633,11.4729061045593,0.0032261911364823,0.0115417507969304
"GB53012",19742.4158461117,0.513043361776943,0.120900455929421,31.4214823088607,1.50283676165811e-07,3.00120499460394e-06
"GB53340",14581.1628621641,-0.383928285344933,0.0874189856696788,29.3287730995689,4.2789561992641e-07,7.38887145586051e-06
"GB55703",12884.4651473793,0.267586286830888,0.069256926260124,18.4728995326036,9.74228508708473e-05,0.000649876110801297
"GB42560",15185.4019428004,0.190080087960835,0.0691144519704621,9.81353401144747,0.00739636211505359,0.0226180150851183
"GB46914",14230.314839525,0.0216630655669435,0.0587455283767141,25.2511860103607,3.28681020786029e-06,4.0252384896838e-05
"GB49853",11332.9393413907,0.0669336178748769,0.074525168375277,10.2610492717811,0.00591345724781184,0.0189316678222094
"GB54446",11879.8722529958,-0.0990261321184204,0.0507617395108374,5.7594210102543,0.0561510159126408,0.114244756706188
"GB45101",10355.88365426,-0.55577325979449,0.116911180016669,22.6039064743566,1.23487805929478e-05,0.000119869925591197
