"","Phero_genes","Food_genes","interxn_genes","allDEG","Food_down","Food_up","EBO_down","EBO_up","BP_up","BP_down","BPvEBO_up","BPvEBO_down","background"
"1","406142","406090","100577883","406142","100576118","100576249","100315677","102654640","100577132","100577198","100577202","100576118","100049551"
"2","724951","406116","411564","724951","100576151","100576471","100576118","102655054","406091","100577346","100577386","100576151","100049571"
"3","726625","552447","449496","726625","100576277","100576600","100576271","107965179","409555","100577607","100577696","100576277","100126690"
"4","408361","406149","409740","408361","100576307","100576758","100576508","411125","409638","100578341","100577754","100576307","100174948"
"5","724552","725382","724694","724552","100576326","100576961","100576657","411614","409949","100578805","100578614","100576326","100187599"
"6","724907","113218518","726798","724907","100576478","100577214","100576734","413168","410227","102655188","100578805","100576478","100187709"
"7","727007","551560","409852","727007","100576508","100578011","100577192","413625","413168","102655330","100578952","100576508","100188940"
"8","113218789","406133","409602","113218789","100576657","100578563","100577198","413805","551165","102655838","102655291","100576657","100188973"
"9","551233","100576118","724993","551233","100576681","102654354","100577504","551165","551501","107966053","107964221","100576681","100191002"
"10","551837","725202","100576271","551837","100576745","102654480","100577607","724275","552313","113218744","107965179","100576745","100216325"
"11","100577198","408361","726441","100577198","100576895","102655751","100577693","724831","552417","113218789","408384","100576895","100302106"
"12","725343","551935","100578733","725343","100577017","102655905","100578051","725244","724993","406127","408796","100577017","100302584"
"13","409061","727110","107964589","409061","100577053","102656315","100578121","726432",NA,"406142","409166","100577053","100315671"
"14","102655330","725305","409638","102655330","100577112","107964089","100578341","726631",NA,"408288","409905","100577112","100315677"
"15","725489","107963970","411132","725489","100577192","112939925","100578515",NA,NA,"408291","410390","100577192","100328599"
"16","411272","113219195","552154","411272","100577198","113219349","100578659",NA,NA,"408361","410534","100577198","100359409"
"17","100578341","725026","408395","100578341","100577346","406153","100578822",NA,NA,"408455","411050","100577346","100359410"
"18","107966053","726625","100577598","107966053","100577607","408579","100642173",NA,NA,"408989","411125","100577607","100379261"
"19","410282","406093","551053","410282","100577693","408646","102654369",NA,NA,"409061","411916","100577693","100576082"
"20","410893","107964020","413097","410893","100577699","408714","102654715",NA,NA,"409494","412057","100577699","100576085"
"21","725031","100577725","408646","725031","100577725","408807","102655188",NA,NA,"410282","551122","100577725","100576088"
"22","725325","726803","552518","725325","100577772","408818","102655838",NA,NA,"410893","551599","100577772","100576098"
"23","550804","726750","411563","550804","100577890","408914","104794352",NA,NA,"411272","551720","100577890","100576101"
"24","725146","552391","102654480","725146","100577980","408922","107966053",NA,NA,"411691","552239","100577980","100576104"
"25","113218744","551401","100576249","113218744","100578016","408969","113218744",NA,NA,"411813","552767","100578016","100576106"
"26","408989","727007","412810","408989","100578053","409105","113218789",NA,NA,"411983","724150","100578053","100576110"
"27","100577607","724552","726392","100577607","100578084","409673","113218991",NA,NA,"412166","724315","100578084","100576116"
"28","551241","409469","725754","551241","100578113","409781","113219060",NA,NA,"412304","724983","100578113","100576118"
"29","100577346","724865","408579","100577346","100578121","409851","406067",NA,NA,"550804","725119","100578121","100576120"
"30","412166","551837","408922","412166","100578173","409924","406086",NA,NA,"551233","725281","100578173","100576125"
"31","102655838","725489","726710","102655838","100578341","409942","406094",NA,NA,"551241","726002","100578341","100576128"
"32","411983","724951","100577214","411983","100578361","410066","406152",NA,NA,"551837","726415","100578361","100576129"
"33","406127","100577198","551501","406127","100578366","410216","408288",NA,NA,"724552","726631","100578366","100576130"
"34","727254","725038","413370","727254","100578464","410229","408291",NA,NA,"724583","727161","100578464","100576131"
"35","724583","410484","409781","724583","100578467","410638","408299",NA,NA,"724907","727634","100578467","100576132"
"36","726887","551233","410272","726887","100578678","410692","408348",NA,NA,"724951",NA,"100578678","100576134"
"37","408455","410824","552417","408455","100578816","410706","408361",NA,NA,"725031",NA,"100578816","100576139"
"38","411691","100576745","406153","411691","100578929","410710","408395",NA,NA,"725146",NA,"100578929","100576140"
"39","411813","113218789","410710","411813","102653713","410905","408470",NA,NA,"725258",NA,"102653713","100576143"
"40","412304","100578084","409368","412304","102653945","411047","408478",NA,NA,"725325",NA,"102653945","100576146"
"41","408288","724208","100579049","408288","102654095","411167","408551",NA,NA,"725343",NA,"102654095","100576147"
"42","102655188","104794352","411813","102655188","102654625","411361","408572",NA,NA,"725489",NA,"102654625","100576151"
"43","725258","409061","727254","725258","102654666","411420","408953",NA,NA,"726625",NA,"102654666","100576153"
"44","409494","725343","726887","409494","102654792","411805","408981",NA,NA,"726887",NA,"102654792","100576155"
"45","408291","724421","551850","408291","102654896","411935","408989",NA,NA,"727007",NA,"102654896","100576157"
"46","100578805","410621","551241","100578805","102655243","411976","409061",NA,NA,"727254",NA,"102655243","100576159"
"47","552417","410828","100577346","552417","102655291","412074","409167",NA,NA,NA,NA,"102655291","100576161"
"48","409949","107966053","100578464","409949","102655465","412169","409228",NA,NA,NA,NA,"102655465","100576162"
"49","551501","100578053","411272","551501","102655779","412484","409368",NA,NA,NA,NA,"102655779","100576163"
"50","552313","552546","725146","552313","102655838","412574","409452",NA,NA,NA,NA,"102655838","100576164"
"51","551165","725325","410893","551165","102656661","412808","409602",NA,NA,NA,NA,"102656661","100576165"
"52","409638","552277","113218744","409638","104794352","412810","409638",NA,NA,NA,NA,"104794352","100576169"
"53","410227","411272","113219336","410227","107963970","413370","409816",NA,NA,NA,NA,"107963970","100576172"
"54","724993","100576326","408989","724993","107964020","413407","409852",NA,NA,NA,NA,"107964020","100576174"
"55","100577132","107964742","550804","100577132","107964035","413676","409921",NA,NA,NA,NA,"107964035","100576176"
"56","413168","552832","725343","413168","107964152","413683","410092",NA,NA,NA,NA,"107964152","100576182"
"57","409555","107965562","725038","409555","107964742","414037","410236",NA,NA,NA,NA,"107964742","100576185"
"58","406091","100578016","551233","406091","107965038","551053","410282",NA,NA,NA,NA,"107965038","100576186"
"59","727161","406094","409061","727161","107965165","552095","410288",NA,NA,NA,NA,"107965165","100576187"
"60","724983","550804","551837","724983","107965272","552139","410380",NA,NA,NA,NA,"107965272","100576189"
"61","102655291","409666","725489","102655291","107965562","552154","410479",NA,NA,NA,NA,"107965562","100576193"
"62","411050","410626","727007","411050","107966053","552402","410489",NA,NA,NA,NA,"107966053","100576195"
"63","100578614","725031","724552","100578614","113218518","552417","410567",NA,NA,NA,NA,"113218518","100576196"
"64","725281","100576895","408361","725281","113218532","724126","410626",NA,NA,NA,NA,"113218532","100576215"
"65","724315","409816","726625","724315","113218716","724344","410788",NA,NA,NA,NA,"113218716","100576216"
"66","726415","551765","725382","726415","113218744","724536","410829",NA,NA,NA,NA,"113218744","100576221"
"67","410534","724907","552447","410534","113218789","724619","410837",NA,NA,NA,NA,"113218789","100576223"
"68","411916","726251","406149","411916","113218956","724915","411207",NA,NA,NA,NA,"113218956","100576226"
"69","724150","725462","408807","724150","113218991","725164","411272",NA,NA,NA,NA,"113218991","100576227"
"70","412057","551582","100576961","412057","113219195","725388","411563",NA,NA,NA,NA,"113219195","100576230"
"71","409905","408989","100576758","409905","113219297","725924","411691",NA,NA,NA,NA,"113219297","100576233"
"72","725119","410960","409715","725119","113219336","725938","411813",NA,NA,NA,NA,"113219336","100576234"
"73","552767","410893","412484","552767","406090","726223","411822",NA,NA,NA,NA,"406090","100576242"
"74","100577696","100576478","102655905","100577696","406093","726373","411863",NA,NA,NA,NA,"406093","100576247"
"75","100577754","411983","551898","100577754","406094","726392","411983",NA,NA,NA,NA,"406094","100576249"
"76","551720","410282","409227","551720","406116","726445","412069",NA,NA,NA,NA,"406116","100576251"
"77","410390","551241","725757","410390","406133","726710","412101",NA,NA,NA,NA,"406133","100576258"
"78","552239","413560","724915","552239","406146","726742","412163",NA,NA,NA,NA,"406146","100576261"
"79","551122","102655838","100576247","551122","406149","727479","412166",NA,NA,NA,NA,"406149","100576263"
"80","107965179","725008","409851","107965179","406152",NA,"412209",NA,NA,NA,NA,"406152","100576265"
"81","408384","102655291","724126","408384","408288",NA,"412231",NA,NA,NA,NA,"408288","100576266"
"82","551599","412166","413356","551599","408291",NA,"412815",NA,NA,NA,NA,"408291","100576270"
"83","100577202","113218532","726431","100577202","408361",NA,"412859",NA,NA,NA,NA,"408361","100576271"
"84","100578952","100577607","410905","100578952","408444",NA,"413190",NA,NA,NA,NA,"408444","100576272"
"85","409166","408544","551531","409166","408453",NA,"413785",NA,NA,NA,NA,"408453","100576274"
"86","100577386","725146","102656585","100577386","408455",NA,"413789",NA,NA,NA,NA,"408455","100576277"
"87","726631","551428","411047","726631","408456",NA,"544670",NA,NA,NA,NA,"408456","100576279"
"88","107964221","100577112","408818","107964221","408470",NA,"550686",NA,NA,NA,NA,"408470","100576283"
"89","727634","113218744","412667","727634","408474",NA,"550785",NA,NA,NA,NA,"408474","100576286"
"90","408796","100577346","552095","408796","408525",NA,"550791",NA,NA,NA,NA,"408525","100576288"
"91","726002","411609","552402","726002","408544",NA,"550804",NA,NA,NA,NA,"408544","100576289"
"92","411125","100578341","411167","411125","408572",NA,"550886",NA,NA,NA,NA,"408572","100576290"
"93","410710","408444","409703","410710","408732",NA,"551167",NA,NA,NA,NA,"408732","100576291"
"94","724851","100576508","413785","724851","408864",NA,"551223",NA,NA,NA,NA,"408864","100576296"
"95","102655814","552512","724251","102655814","408965",NA,"551233",NA,NA,NA,NA,"408965","100576298"
"96","409167","102653713","552070","409167","408989",NA,"551241",NA,NA,NA,NA,"408989","100576300"
"97","409781","724776","100576151","409781","409025",NA,"551280",NA,NA,NA,NA,"409025","100576307"
