"Phero_genes"	"Food_genes"	"interxn_genes"	"allDEG"	"Food_down"	"Food_up"	"EBO_down"	"EBO_up"	"BP_up"	"BP_down"	"BPvEBO_up"	"BPvEBO_down"	"background"
"406142"	"406090"	"100577883"	"406142"	"100576118"	"100576249"	"100315677"	"102654640"	"100577132"	"100577198"	"100577202"	"100576118"	"100049551"
"724951"	"406116"	"411564"	"724951"	"100576151"	"100576471"	"100576118"	"102655054"	"406091"	"100577346"	"100577386"	"100576151"	"100049571"
"726625"	"552447"	"449496"	"726625"	"100576277"	"100576600"	"100576271"	"107965179"	"409555"	"100577607"	"100577696"	"100576277"	"100126690"
"408361"	"406149"	"409740"	"408361"	"100576307"	"100576758"	"100576508"	"411125"	"409638"	"100578341"	"100577754"	"100576307"	"100174948"
"724552"	"725382"	"724694"	"724552"	"100576326"	"100576961"	"100576657"	"411614"	"409949"	"100578805"	"100578614"	"100576326"	"100187599"
"724907"	"113218518"	"726798"	"724907"	"100576478"	"100577214"	"100576734"	"413168"	"410227"	"102655188"	"100578805"	"100576478"	"100187709"
"727007"	"551560"	"409852"	"727007"	"100576508"	"100578011"	"100577192"	"413625"	"413168"	"102655330"	"100578952"	"100576508"	"100188940"
"113218789"	"406133"	"409602"	"113218789"	"100576657"	"100578563"	"100577198"	"413805"	"551165"	"102655838"	"102655291"	"100576657"	"100188973"
"551233"	"100576118"	"724993"	"551233"	"100576681"	"102654354"	"100577504"	"551165"	"551501"	"107966053"	"107964221"	"100576681"	"100191002"
"551837"	"725202"	"100576271"	"551837"	"100576745"	"102654480"	"100577607"	"724275"	"552313"	"113218744"	"107965179"	"100576745"	"100216325"
"100577198"	"408361"	"726441"	"100577198"	"100576895"	"102655751"	"100577693"	"724831"	"552417"	"113218789"	"408384"	"100576895"	"100302106"
"725343"	"551935"	"100578733"	"725343"	"100577017"	"102655905"	"100578051"	"725244"	"724993"	"406127"	"408796"	"100577017"	"100302584"
"409061"	"727110"	"107964589"	"409061"	"100577053"	"102656315"	"100578121"	"726432"		"406142"	"409166"	"100577053"	"100315671"
"102655330"	"725305"	"409638"	"102655330"	"100577112"	"107964089"	"100578341"	"726631"		"408288"	"409905"	"100577112"	"100315677"
"725489"	"107963970"	"411132"	"725489"	"100577192"	"112939925"	"100578515"			"408291"	"410390"	"100577192"	"100328599"
"411272"	"113219195"	"552154"	"411272"	"100577198"	"113219349"	"100578659"			"408361"	"410534"	"100577198"	"100359409"
"100578341"	"725026"	"408395"	"100578341"	"100577346"	"406153"	"100578822"			"408455"	"411050"	"100577346"	"100359410"
"107966053"	"726625"	"100577598"	"107966053"	"100577607"	"408579"	"100642173"			"408989"	"411125"	"100577607"	"100379261"
"410282"	"406093"	"551053"	"410282"	"100577693"	"408646"	"102654369"			"409061"	"411916"	"100577693"	"100576082"
"410893"	"107964020"	"413097"	"410893"	"100577699"	"408714"	"102654715"			"409494"	"412057"	"100577699"	"100576085"
"725031"	"100577725"	"408646"	"725031"	"100577725"	"408807"	"102655188"			"410282"	"551122"	"100577725"	"100576088"
"725325"	"726803"	"552518"	"725325"	"100577772"	"408818"	"102655838"			"410893"	"551599"	"100577772"	"100576098"
"550804"	"726750"	"411563"	"550804"	"100577890"	"408914"	"104794352"			"411272"	"551720"	"100577890"	"100576101"
"725146"	"552391"	"102654480"	"725146"	"100577980"	"408922"	"107966053"			"411691"	"552239"	"100577980"	"100576104"
"113218744"	"551401"	"100576249"	"113218744"	"100578016"	"408969"	"113218744"			"411813"	"552767"	"100578016"	"100576106"
"408989"	"727007"	"412810"	"408989"	"100578053"	"409105"	"113218789"			"411983"	"724150"	"100578053"	"100576110"
"100577607"	"724552"	"726392"	"100577607"	"100578084"	"409673"	"113218991"			"412166"	"724315"	"100578084"	"100576116"
