,Phero_genes,Food_genes,interxn_genes,allDEG,Food_down,Food_up,EBO_down,EBO_up,BP_up,BP_down,background
1,406142,107964975,100577883,406142,100576118,100576247,100576118,100577772,100577132,100576135,100037419
2,100576135,406090,411564,100576135,100576135,100576249,100576135,100578694,100577772,100576508,100049551
3,552447,406116,449496,552447,100576151,100576471,100576271,102653993,406091,100577198,100126690
4,724951,552447,413833,724951,100576270,100576600,100576734,102654640,406121,100577346,100174948
5,726625,406149,113219298,726625,100576307,100576758,100577014,102655054,409555,100577607,100187599
6,408361,100576135,409740,408361,100576326,100576938,100577192,107965179,409638,100578341,100187709
7,107964020,725382,724694,107964020,100576414,100576961,100577198,411125,409715,100578805,100188904
8,724552,551879,413346,724552,100576508,100577030,100577346,411614,409751,102655188,100188940
9,724153,406121,726798,724153,100576555,100577214,100577440,413168,409949,102655838,100188973
10,724907,406114,411406,724907,100576646,100577541,100577504,413625,410227,107964020,100191002
11,727007,113218518,408830,727007,100576681,100577743,100577607,413805,410972,107966053,100192200
12,113218789,552829,409852,113218789,100576742,100577772,100577693,551165,411186,113218789,100192201
13,411894,409619,100577541,411894,100576745,100578011,100578051,551512,411406,406127,100192202
14,551233,724239,409602,551233,100576773,100578201,100578121,551720,412810,406142,100216325
15,551837,551560,409677,551837,100576797,100578542,100578341,724275,413168,408288,100216489
16,100577198,406133,724993,100577198,100576839,100578563,100578515,724315,413894,408291,100217360
17,725997,677673,102653655,725997,100576855,102655244,100578822,724370,551165,408361,100302106
18,725343,677671,100576271,725343,100576895,102655905,100642173,724831,551501,408455,100302584
19,409061,100576555,726441,409061,100576924,102656585,102654066,725230,552313,408989,100328599
20,409816,102654366,100578733,409816,100576949,107964089,102654173,725244,552417,409061,100359409
21,725489,100576118,107964589,725489,100577017,107965657,102654369,725803,724993,409494,100359410
22,100576508,726629,409638,100576508,100577053,112939925,102654384,725903,726040,409666,100379261
23,411272,552478,411132,411272,100577112,406096,102654715,726180,726848,409816,100576082
24,100578341,413679,552154,100578341,100577192,406151,102655153,726432,,410282,100576085
25,107966053,411978,413936,107966053,100577198,406153,102655188,726631,,410893,100576088
26,410282,107965814,408395,410282,100577213,408452,102655332,726720,,411272,100576090
27,410893,102655153,725273,410893,100577346,408579,102655838,,,411691,100576096
28,409666,100576797,100577598,409666,100577440,408646,102656070,,,411813,100576097
29,725031,725202,551053,725031,100577607,408714,102656583,,,411894,100576098
30,725325,406088,413097,725325,100577693,408725,107965038,,,411983,100576099
31,550804,107964258,102655332,550804,100577699,408807,107966053,,,412166,100576100
32,725146,100576839,408646,725146,100577712,408818,113218789,,,412304,100576101
33,408989,408361,552518,408989,100577725,408828,113218991,,,550686,100576104
