"Phero_genes"	"Food_genes"	"interxn_genes"	"allDEG"	"Food_down"	"Food_up"	"EBO_down"	"EBO_up"	"BP_up"	"BP_down"	"background"
"406142"	"107964975"	"100577883"	"406142"	"100576118"	"100576247"	"100576118"	"100577772"	"100577132"	"100576135"	"100037419"
"100576135"	"406090"	"411564"	"100576135"	"100576135"	"100576249"	"100576135"	"100578694"	"100577772"	"100576508"	"100049551"
"552447"	"406116"	"449496"	"552447"	"100576151"	"100576471"	"100576271"	"102653993"	"406091"	"100577198"	"100126690"
"724951"	"552447"	"413833"	"724951"	"100576270"	"100576600"	"100576734"	"102654640"	"406121"	"100577346"	"100174948"
"726625"	"406149"	"113219298"	"726625"	"100576307"	"100576758"	"100577014"	"102655054"	"409555"	"100577607"	"100187599"
"408361"	"100576135"	"409740"	"408361"	"100576326"	"100576938"	"100577192"	"107965179"	"409638"	"100578341"	"100187709"
"107964020"	"725382"	"724694"	"107964020"	"100576414"	"100576961"	"100577198"	"411125"	"409715"	"100578805"	"100188904"
"724552"	"551879"	"413346"	"724552"	"100576508"	"100577030"	"100577346"	"411614"	"409751"	"102655188"	"100188940"
"724153"	"406121"	"726798"	"724153"	"100576555"	"100577214"	"100577440"	"413168"	"409949"	"102655838"	"100188973"
"724907"	"406114"	"411406"	"724907"	"100576646"	"100577541"	"100577504"	"413625"	"410227"	"107964020"	"100191002"
"727007"	"113218518"	"408830"	"727007"	"100576681"	"100577743"	"100577607"	"413805"	"410972"	"107966053"	"100192200"
"113218789"	"552829"	"409852"	"113218789"	"100576742"	"100577772"	"100577693"	"551165"	"411186"	"113218789"	"100192201"
"411894"	"409619"	"100577541"	"411894"	"100576745"	"100578011"	"100578051"	"551512"	"411406"	"406127"	"100192202"
"551233"	"724239"	"409602"	"551233"	"100576773"	"100578201"	"100578121"	"551720"	"412810"	"406142"	"100216325"
"551837"	"551560"	"409677"	"551837"	"100576797"	"100578542"	"100578341"	"724275"	"413168"	"408288"	"100216489"
"100577198"	"406133"	"724993"	"100577198"	"100576839"	"100578563"	"100578515"	"724315"	"413894"	"408291"	"100217360"
"725997"	"677673"	"102653655"	"725997"	"100576855"	"102655244"	"100578822"	"724370"	"551165"	"408361"	"100302106"
"725343"	"677671"	"100576271"	"725343"	"100576895"	"102655905"	"100642173"	"724831"	"551501"	"408455"	"100302584"
"409061"	"100576555"	"726441"	"409061"	"100576924"	"102656585"	"102654066"	"725230"	"552313"	"408989"	"100328599"
"409816"	"102654366"	"100578733"	"409816"	"100576949"	"107964089"	"102654173"	"725244"	"552417"	"409061"	"100359409"
"725489"	"100576118"	"107964589"	"725489"	"100577017"	"107965657"	"102654369"	"725803"	"724993"	"409494"	"100359410"
"100576508"	"726629"	"409638"	"100576508"	"100577053"	"112939925"	"102654384"	"725903"	"726040"	"409666"	"100379261"
"411272"	"552478"	"411132"	"411272"	"100577112"	"406096"	"102654715"	"726180"	"726848"	"409816"	"100576082"
"100578341"	"413679"	"552154"	"100578341"	"100577192"	"406151"	"102655153"	"726432"		"410282"	"100576085"
"107966053"	"411978"	"413936"	"107966053"	"100577198"	"406153"	"102655188"	"726631"		"410893"	"100576088"
"410282"	"107965814"	"408395"	"410282"	"100577213"	"408452"	"102655332"	"726720"		"411272"	"100576090"
"410893"	"102655153"	"725273"	"410893"	"100577346"	"408579"	"102655838"			"411691"	"100576096"
"409666"	"100576797"	"100577598"	"409666"	"100577440"	"408646"	"102656070"			"411813"	"100576097"
"725031"	"725202"	"551053"	"725031"	"100577607"	"408714"	"102656583"			"411894"	"100576098"
"725325"	"406088"	"413097"	"725325"	"100577693"	"408725"	"107965038"			"411983"	"100576099"
"550804"	"107964258"	"102655332"	"550804"	"100577699"	"408807"	"107966053"			"412166"	"100576100"
"725146"	"100576839"	"408646"	"725146"	"100577712"	"408818"	"113218789"			"412304"	"100576101"
"408989"	"408361"	"552518"	"408989"	"100577725"	"408828"	"113218991"			"550686"	"100576104"
"100577607"	"413112"	"411563"	"100577607"	"100577805"	"408914"	"113219358"			"550804"	"100576106"
"551241"	"551935"	"412888"	"551241"	"100577894"	"408922"	"406067"			"551233"	"100576110"
"100577346"	"727110"	"100576249"	"100577346"	"100577918"	"408969"	"406086"			"551241"	"100576116"
"412166"	"725305"	"412810"	"412166"	"100577980"	"409105"	"406094"			"551837"	"100576118"
"725984"	"107963970"	"726392"	"725984"	"100578084"	"409485"	"406127"			"551850"	"100576121"
"724390"	"408383"	"725754"	"724390"	"100578113"	"409650"	"406146"			"552447"	"100576125"
"727254"	"726864"	"107964089"	"727254"	"100578121"	"409673"	"406152"			"552489"	"100576126"
"411983"	"408603"	"413025"	"411983"	"100578249"	"409781"	"408288"			"552712"	"100576128"
"102655838"	"113219195"	"408821"	"102655838"	"100578263"	"409807"	"408291"			"724153"	"100576129"
"406127"	"725026"	"408579"	"406127"	"100578311"	"409851"	"408299"			"724390"	"100576130"
"724583"	"726625"	"408922"	"724583"	"100578341"	"409924"	"408361"			"724552"	"100576131"
"726887"	"406093"	"726710"	"726887"	"100578442"	"409942"	"408383"			"724583"	"100576132"
"408455"	"677677"	"100577214"	"408455"	"100578467"	"410066"	"408395"			"724907"	"100576134"
"411691"	"724838"	"551501"	"411691"	"100578524"	"410216"	"408462"			"724951"	"100576135"
"552712"	"551719"	"413370"	"552712"	"100578770"	"410229"	"408470"			"725031"	"100576140"
"551850"	"107964020"	"408725"	"551850"	"100578816"	"410352"	"408478"			"725146"	"100576143"
"726913"	"100577725"	"409781"	"726913"	"100578929"	"410383"	"408544"			"725258"	"100576146"
"550686"	"726803"	"410272"	"550686"	"102654366"	"410467"	"408551"			"725325"	"100576147"
"411813"	"102655131"	"552417"	"411813"	"102655131"	"410638"	"408572"			"725343"	"100576150"
"726260"	"725114"	"409942"	"726260"	"102655153"	"410692"	"408859"			"725489"	"100576151"
"412304"	"100576949"	"406153"	"412304"	"102655243"	"410706"	"408871"			"725984"	"100576152"
"552489"	"552418"	"410710"	"552489"	"102655838"	"410710"	"408875"			"725997"	"100576153"
"408288"	"406131"	"409368"	"408288"	"102656008"	"410905"	"408904"			"726260"	"100576155"
"102655188"	"552523"	"100579049"	"102655188"	"102656070"	"411167"	"408953"			"726625"	"100576157"
"725258"	"409306"	"411813"	"725258"	"102656088"	"411201"	"408981"			"726887"	"100576159"
"409494"	"551094"	"726887"	"409494"	"102656186"	"411229"	"408989"			"726913"	"100576162"
"408291"	"677665"	"412166"	"408291"	"102656661"	"411361"	"409042"			"727007"	"100576163"
"100578805"	"727028"	"551850"	"100578805"	"107963970"	"411362"	"409061"			"727254"	"100576165"
"410972"	"726371"	"551241"	"410972"	"107964020"	"411420"	"409096"				"100576167"
"552417"	"726750"	"100577346"	"552417"	"107964024"	"411577"	"409167"				"100576169"
"409949"	"552391"	"727254"	"409949"	"107964258"	"411729"	"409173"				"100576172"
"551501"	"413264"	"551908"	"551501"	"107964975"	"411805"	"409203"				"100576174"
"552313"	"551401"	"411272"	"552313"	"107965038"	"411935"	"409228"				"100576176"
"412810"	"100577712"	"725146"	"412810"	"107965225"	"411955"	"409368"				"100576179"
"726040"	"727007"	"410893"	"726040"	"107965562"	"411976"	"409452"				"100576182"
"551165"	"409042"	"408989"	"551165"	"107965814"	"411985"	"409487"				"100576184"
"409638"	"410603"	"550804"	"409638"	"107966053"	"412036"	"409602"				"100576185"
"410227"	"552251"	"725343"	"410227"	"113218518"	"412074"	"409638"				"100576186"
"724993"	"100577894"	"725720"	"724993"	"113218532"	"412169"	"409650"				"100576187"
"100577132"	"724552"	"725038"	"100577132"	"113218716"	"412484"	"409677"				"100576192"
"409715"	"409469"	"551233"	"409715"	"113218789"	"412546"	"409713"				"100576193"
"413168"	"406081"	"409061"	"413168"	"113218956"	"412574"	"409816"				"100576194"
"411406"	"725215"	"551837"	"411406"	"113218991"	"412808"	"409821"				"100576195"
"409751"	"100576742"	"724951"	"409751"	"113219195"	"412810"	"409852"				"100576196"
"413894"	"724865"	"725489"	"413894"	"113219221"	"413024"	"409921"				"100576198"
"726848"	"551837"	"727007"	"726848"	"406065"	"413065"	"409937"				"100576212"
"411186"	"726848"	"724552"	"411186"	"406081"	"413370"	"410092"				"100576215"
"409555"	"725489"	"408383"	"409555"	"406088"	"413407"	"410236"				"100576216"
"406091"	"725997"	"113218789"	"406091"	"406090"	"413504"	"410282"				"100576217"
"406121"	"724951"	"100577894"	"406121"	"406093"	"413672"	"410288"				"100576220"
"100577772"	"100577198"	"107964020"	"100577772"	"406094"	"413676"	"410380"				"100576221"
"727161"	"412763"	"408361"	"727161"	"406114"	"413720"	"410479"				"100576222"
"411223"	"102656186"	"413112"	"411223"	"406116"	"414037"	"410489"				"100576223"
"413391"	"726421"	"726625"	"413391"	"406121"	"550655"	"410517"				"100576224"
"551905"	"100576414"	"410603"	"551905"	"406127"	"551053"	"410521"				"100576225"
"724983"	"551587"	"724239"	"724983"	"406131"	"551250"	"410567"				"100576226"
"726047"	"725038"	"409619"	"726047"	"406133"	"551409"	"410621"				"100576227"
"411050"	"410734"	"725382"	"411050"	"406146"	"551501"	"410626"				"100576233"
"100578614"	"410484"	"552447"	"100578614"	"406149"	"551513"	"410788"				"100576236"
"724146"	"551233"	"551268"	"724146"	"406152"	"551658"	"410829"				"100576242"
"725281"	"410824"	"406149"	"725281"	"408288"	"551930"	"410837"				"100576246"
"724315"	"100578442"	"107964975"	"724315"	"408291"	"552064"	"411207"				"100576247"
"726415"	"100576745"	"408807"	"726415"	"408353"	"552095"	"411272"				"100576248"
"410534"	"727546"	"100576961"	"410534"	"408361"	"552139"	"411406"				"100576249"
"412839"	"725832"	"100576758"	"412839"	"408383"	"552154"	"411533"				"100576251"
"411916"	"100577805"	"409715"	"411916"	"408390"	"552235"	"411563"				"100576258"
"724150"	"113218789"	"412484"	"724150"	"408444"	"552313"	"411622"				"100576260"
"725792"	"100578084"	"107964212"	"725792"	"408453"	"552402"	"411691"				"100576261"
"725758"	"724208"	"102655905"	"725758"	"408455"	"552417"	"411813"				"100576262"
"412057"	"724654"	"551898"	"412057"	"408456"	"552573"	"411822"				"100576263"
"409905"	"411894"	"725799"	"409905"	"408470"	"724126"	"411863"				"100576265"
