"","darkred","lightyellow","darkgreen","purple","midnightblue","darkorange","skyblue","green","orange","lightcyan","black","salmon","brown","darkgrey","pink","red"
"1",NA,NA,NA,"Metabolic pathways","Metabolic pathways","Metabolic pathways","Metabolic pathways","Valine, leucine and isoleucine degradation","Metabolic pathways",NA,"Glycerophospholipid metabolism","Protein processing in endoplasmic reticulum","Pentose and glucuronate interconversions",NA,"Spliceosome","Pyrimidine metabolism"
"2",NA,NA,NA,"Carbon metabolism","Carbon metabolism",NA,NA,"Carbon metabolism",NA,NA,"Neuroactive ligand-receptor interaction","Longevity regulating pathway - multiple species","Metabolic pathways",NA,NA,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"3",NA,NA,NA,"Fatty acid metabolism",NA,NA,NA,"Ribosome",NA,NA,"Hippo signaling pathway - fly",NA,"FoxO signaling pathway",NA,NA,"Basal transcription factors"
"4",NA,NA,NA,"Peroxisome",NA,NA,NA,"Proteasome",NA,NA,NA,NA,"Neuroactive ligand-receptor interaction",NA,NA,"Nucleotide excision repair"
"5",NA,NA,NA,NA,NA,NA,NA,"Protein export",NA,NA,NA,NA,"Lysosome",NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wnt signaling pathway",NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dorso-ventral axis formation",NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notch signaling pathway",NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Toll and Imd signaling pathway",NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AGE-RAGE signaling pathway in diabetic complications",NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
