"category","module","hub_gene","regulation","size","BeeBase"
"EBO_Food_ME_unique","16","727205","up",166,"GB52658"
"All3_ME","10","408551","down",239,"GB45943"
"BP_unique_ME","7","409018","up",560,"GB42728"
"EBO_unique_ME","13","412360","up",217,"GB45423"
"EBO_unique_ME","3","551432","down",900,"GB52595"
"EBO_unique_ME","8","412189","up",267,"GB19920"
"EBO_unique_ME","24","726415","down",90,"GB45063"
"EBO_unique_ME","6","410162","up",540,"GB44289"
"Food_unique_ME","19","413331","up",145,"GB49517"
"Food_unique_ME","21","725613","up",127,"GB50923"
"Food_unique_ME","22","410211","down",121,"GB51059"
"Food_unique_ME","15","552447","down",168,"GB45147"
"Food_unique_ME","26","727254","down",82,"GB41641"
"Food_unique_ME","28","725422","down",58,"GB50931"
"Food_unique_ME","5","726013","down",594,"GB40539"
"Food_unique_ME","25","100578016","down",89,NA
