target_id	length	eff_length	est_counts	tpm
rna28331	66	31	0	0
rna28332	63	28	0	0
rna28333	66	31	0	0
rna28334	63	28	0	0
rna28335	70	35	1	5.40703
rna28336	69	34	2	11.1321
gene12361	1002	967	270	52.8402
rna28337	69	34	2	11.1321
rna28338	68	33	213.95	1226.95
rna28339	72	37	8	40.9181
gene12362	1566	1531	74536	9213.36
rna28340	70	35	3	16.2211
gene12363	678	643	14728	4334.71
rna28341	69	34	0	0
rna28342	69	34	0	0
gene12364	159	124	12	18.3141
gene12365	681	646	253	74.1165
gene12366	780	745	655	166.384
rna28343	66	31	0	0
gene12367	354	319	23	13.6447
rna28344	67	32	3	17.7418
rna28345	69	34	0	0
rna28346	69	34	0	0
gene12368	1665	1630	1870	217.111
rna28347	68	33	1	5.73473
gene12369	1344	1309	2304	333.096
gene12370	264	229	23	19.0073
rna28348	78	43	0	0
rna28349	68	33	2	11.4695
gene12371	504	469	120	48.4212
gene12372	1152	1117	14751	2499.17
rna28350	67	32	2	11.8279
gene12373	918	883	539	115.519
rna28351	71	36	9	47.3116
rna28352	1371	1336	185823	26322
rna28353	70	35	3	16.2211
rna28354	786	751	3424	862.822
rna0	1447	1412	45.2033	6.05847
rna1	835	800	41.389	9.7909
rna2	1068	1033	46.142	8.45324
rna3	4225	4190	702.935	31.7489
rna4	4189	4154	1339.04	61.0035
rna5	4183	4148	5.29654	0.241647
rna6	4099	4064	9.961e-005	4.63849e-006
rna7	4256	4221	776.993	34.8361
rna8	1745	1710	416.563	46.1011
rna9	1848	1813	1869.44	195.137
rna10	1156	1121	442.543	74.7097
rna11	811	776	248.654	60.6403
rna12	2088	2053	269.062	24.8022
rna13	1866	1831	0	0
rna14	1817	1782	0	0
rna15	1761	1726	794.227	87.0825
rna16	1767	1732	149.091	16.2903
rna17	2330	2295	346.423	28.5661
rna18	1595	1560	508	61.6263
rna20	1635	1600	196.906	23.2898
rna19	2736	2701	151.718	10.6301
rna21	1102	1067	16	2.83781
rna22	370	335	49.7656	28.1133
rna23	5269	5234	2295.09	82.9838
rna24	709	674	5	1.4039
rna25	1346	1311	286	41.2848
rna29	2262	2227	0	0
rna28	2319	2284	0	0
rna27	2080	2045	484	44.7898
rna26	2131	2096	0	0
rna31	2378	2343	193.437	15.6241
rna30	2797	2762	19.3795	1.32784
rna32	2705	2670	1312.18	93.0059
rna34	670	635	0	0
rna33	519	484	162	63.3427
rna35	7543	7508	201	5.06639
rna48	2647	2612	599.616	43.4437
rna47	3942	3907	12.0677	0.584534
rna46	2870	2835	175.73	11.7306
rna45	4248	4213	296.823	13.3332
rna44	4454	4419	3.3535	0.143616
rna43	3106	3071	93.6642	5.77193
rna42	2769	2734	0	0
rna40	2940	2905	67.2352	4.38003
rna41	3144	3109	0.00262743	0.000159933
rna38	2843	2808	0	0
rna39	3009	2974	215.374	13.705
rna37	3214	3179	0.00665938	0.000396433
rna36	3212	3177	2.29986e-007	1.36997e-008
rna49	84	49	0	0
rna50	23	24	0	0
rna51	89	54	0	0
rna53	78	43	0	0
rna52	23	24	0	0
rna54	24	25	0	0
rna55	79	44	0	0
rna56	23	24	0	0
rna57	100	65	0	0
rna58	21	22	0	0
rna59	100	65	0	0
rna60	23	24	0	0
rna61	100	65	0	0
rna62	19	20	0	0
rna63	2794	2759	177.655	12.1858
rna64	2208	2173	121.332	10.5668
rna65	2212	2177	13.0122	1.13115
rna66	14474	14439	2.17716e-008	2.85352e-010
rna67	14423	14388	0	0
rna68	14444	14409	55.573	0.72989
rna69	14417	14382	1.35564e-006	1.78382e-008
rna70	14453	14418	8.02367e-008	1.05316e-009
rna71	14407	14372	55.8289	0.735138
rna72	14356	14321	155.618	2.05643
rna73	14266	14231	249.286	3.31504
rna74	14458	14423	6.5584e-006	8.60536e-008
rna75	14395	14360	751.202	9.89987
rna76	14316	14281	1.76542	0.0233947
rna77	14300	14265	530.529	7.03825
rna78	14089	14054	851.198	11.4619
rna83	6159	6124	113.845	3.51807
rna81	4544	4509	38.5579	1.61831
rna82	4606	4571	144.72	5.99164
rna80	4421	4386	1872.88	80.8105
rna79	4544	4509	0	0
rna84	1474	1439	10.3043	1.35514
rna85	4011	3976	789.761	37.5904
rna86	4332	4297	0	0
rna87	5550	5515	0	0
rna88	5530	5495	85.2002	2.93427
rna89	4942	4907	1660.74	64.0492
rna91	2164	2129	9.51103	0.845433
rna92	88	53	6.24071	22.2836
rna93	23	24	0	0
rna90	4161	4126	34.6984	1.5915
rna94	1791	1756	6	0.646627
rna95	7798	7763	1477.5	36.0184
rna96	1263	1228	141.547	21.8137
rna97	1507	1472	1.00962	0.129801
rna98	147	112	8.0902	13.67
rna99	1089	1054	15	2.69326
rna100	3465	3430	1261.26	69.5884
rna101	3014	2979	636.742	40.4501
rna102	2233	2198	1627.49	140.126
rna103	556	521	0	0
rna104	937	902	1	0.209807
rna106	2689	2654	277.125	19.7607
rna105	2799	2764	225.924	15.4686
rna107	4147	4112	493.21	22.699
rna108	3811	3776	186.79	9.36157
rna109	135	100	1	1.89246
rna110	21	22	0	0
rna113	1684	1649	754.03	86.5356
rna112	1416	1381	521.99	71.5312
rna111	1532	1497	495.981	62.7004
rna114	1231	1196	219	34.6529
rna118	2623	2588	15.1651	1.10894
rna117	2429	2394	48.754	3.85402
rna115	2665	2630	1084.08	78.0069
rna116	2757	2722	1.88425e-008	1.31002e-009
rna119	443	408	35	16.2344
rna120	2938	2903	948.982	61.864
rna121	3327	3292	0	0
