"","files","lane","samples","reads","aligned","uniques","percent_alignment","percent_unique"
"1","BP_1_pol_S1_L001","1","BP_1_pol","16000686","11356382","4571303","71.0","28.6"
"2","BP_1_pol_S1_L002","2","BP_1_pol","17043597","12207830","4906087","71.6","28.8"
"3","BP_1_pol_S1_L003","3","BP_1_pol","16846148","11988298","4816984","71.2","28.6"
"4","BP_1_pol_S1_L004","4","BP_1_pol","16830288","12108754","4861555","71.9","28.9"
"5","BP_2_pol_S2_L001","1","BP_2_pol","14100658","9665490","3780940","68.5","26.8"
"6","BP_2_pol_S2_L002","2","BP_2_pol","15000214","10392320","4055031","69.3","27.0"
"7","BP_2_pol_S2_L003","3","BP_2_pol","14830228","10207497","3982754","68.8","26.9"
"8","BP_2_pol_S2_L004","4","BP_2_pol","14794794","10293492","4020891","69.6","27.2"
"9","BP_3_pol_S3_L001","1","BP_3_pol","18296281","13218966","5035030","72.2","27.5"
"10","BP_3_pol_S3_L002","2","BP_3_pol","19683449","14328894","5452110","72.8","27.7"
"11","BP_3_pol_S3_L003","3","BP_3_pol","19403084","14039475","5339875","72.4","27.5"
"12","BP_3_pol_S3_L004","4","BP_3_pol","19401339","14189039","5399636","73.1","27.8"
"13","BP_N_1_S4_L001","1","BP_N_1","16908918","11581738","4346889","68.5","25.7"
"14","BP_N_1_S4_L002","2","BP_N_1","18393551","12731649","4776936","69.2","26.0"
"15","BP_N_1_S4_L003","3","BP_N_1","18100933","12446200","4667060","68.8","25.8"
"16","BP_N_1_S4_L004","4","BP_N_1","18107174","12589195","4721779","69.5","26.1"
"17","BP_N_2_S5_L001","1","BP_N_2","12688825","9307838","3058192","73.4","24.1"
"18","BP_N_2_S5_L002","2","BP_N_2","13647153","10095606","3320855","74.0","24.3"
"19","BP_N_2_S5_L003","3","BP_N_2","13504707","9931467","3262144","73.5","24.2"
"20","BP_N_2_S5_L004","4","BP_N_2","13473862","10016869","3291548","74.3","24.4"
"21","BP_N_3_S6_L001","1","BP_N_3","15305950","10987558","4355506","71.8","28.5"
"22","BP_N_3_S6_L002","2","BP_N_3","16177064","11700333","4632965","72.3","28.6"
"23","BP_N_3_S6_L003","3","BP_N_3","16094852","11569965","4580716","71.9","28.5"
"24","BP_N_3_S6_L004","4","BP_N_3","16042549","11657998","4617995","72.7","28.8"
"25","O_N_1_S10_L001","1","O_N_1","12704792","8889519","3251958","70.0","25.6"
"26","O_N_1_S10_L002","2","O_N_1","13448664","9477809","3461686","70.5","25.7"
"27","O_N_1_S10_L003","3","O_N_1","13273092","9302258","3395531","70.1","25.6"
"28","O_N_1_S10_L004","4","O_N_1","13308378","9421910","3440609","70.8","25.9"
"29","O_N_2_S11_L001","1","O_N_2","17862797","12590939","4995799","70.5","28.0"
"30","O_N_2_S11_L002","2","O_N_2","18947702","13451740","5329592","71.0","28.1"
"31","O_N_2_S11_L003","3","O_N_2","18749549","13232306","5244040","70.6","28.0"
"32","O_N_2_S11_L004","4","O_N_2","18775498","13388409","5308094","71.3","28.3"
"33","O_N_3_S12_L001","1","O_N_3","13932200","9691482","3775038","69.6","27.1"
"34","O_N_3_S12_L002","2","O_N_3","14839376","10392680","4046899","70.0","27.3"
"35","O_N_3_S12_L003","3","O_N_3","14643663","10194358","3964422","69.6","27.1"
"36","O_N_3_S12_L004","4","O_N_3","14658364","10311500","4016730","70.3","27.4"
"37","Oci_1_pol_S7_L001","1","Oci_1_pol","13456084","9315072","3634631","69.2","27.0"
"38","Oci_1_pol_S7_L002","2","Oci_1_pol","14299808","9967389","3881184","69.7","27.1"
"39","Oci_1_pol_S7_L003","3","Oci_1_pol","14150973","9801197","3813964","69.3","27.0"
"40","Oci_1_pol_S7_L004","4","Oci_1_pol","14139641","9904910","3858891","70.1","27.3"
"41","Oci_2_pol_S8_L001","1","Oci_2_pol","15480444","10646559","3845190","68.8","24.8"
"42","Oci_2_pol_S8_L002","2","Oci_2_pol","16325970","11310017","4082416","69.3","25.0"
"43","Oci_2_pol_S8_L003","3","Oci_2_pol","16123668","11100832","4005500","68.8","24.8"
"44","Oci_2_pol_S8_L004","4","Oci_2_pol","16165521","11249238","4062774","69.6","25.1"
"45","Oci_3_pol_S9_L001","1","Oci_3_pol","15660306","10443206","3781208","66.7","24.1"
"46","Oci_3_pol_S9_L002","2","Oci_3_pol","16572967","11135650","4026770","67.2","24.3"
"47","Oci_3_pol_S9_L003","3","Oci_3_pol","16412064","10963213","3964519","66.8","24.2"
"48","Oci_3_pol_S9_L004","4","Oci_3_pol","16419709","11088083","4013486","67.5","24.4"
"49","X_1_pol_S13_L001","1","X_1_pol","17311375","12151238","4110541","70.2","23.7"
"50","X_1_pol_S13_L002","2","X_1_pol","18506664","13086796","4419146","70.7","23.9"
"51","X_1_pol_S13_L003","3","X_1_pol","18276827","12846749","4336624","70.3","23.7"
"52","X_1_pol_S13_L004","4","X_1_pol","18308503","13003863","4389620","71.0","24.0"
"53","X_2_pol_S14_L001","1","X_2_pol","21613303","10638634","4078442","49.2","18.9"
"54","X_2_pol_S14_L002","2","X_2_pol","23056350","11424083","4380391","49.5","19.0"
"55","X_2_pol_S14_L003","3","X_2_pol","22804794","11233207","4302218","49.3","18.9"
"56","X_2_pol_S14_L004","4","X_2_pol","22861342","11385362","4364532","49.8","19.1"
"57","X_3_pol_S15_L001","1","X_3_pol","16630070","11168855","4169319","67.2","25.1"
"58","X_3_pol_S15_L002","2","X_3_pol","17748056","11999057","4474741","67.6","25.2"
"59","X_3_pol_S15_L003","3","X_3_pol","17560988","11804536","4396925","67.2","25.0"
"60","X_3_pol_S15_L004","4","X_3_pol","17560127","11930414","4448138","67.9","25.3"
"61","X_N_1_S16_L001","1","X_N_1","9829386","6889544","2718960","70.1","27.7"
"62","X_N_1_S16_L002","2","X_N_1","10496523","7410081","2918418","70.6","27.8"
"63","X_N_1_S16_L003","3","X_N_1","10368622","7277387","2864509","70.2","27.6"
"64","X_N_1_S16_L004","4","X_N_1","10370766","7356034","2898699","70.9","28.0"
"65","X_N_2_S17_L001","1","X_N_2","11721464","8230781","3196688","70.2","27.3"
"66","X_N_2_S17_L002","2","X_N_2","12388115","8764666","3395001","70.8","27.4"
"67","X_N_2_S17_L003","3","X_N_2","12254173","8610885","3338025","70.3","27.2"
"68","X_N_2_S17_L004","4","X_N_2","12290900","8733506","3385238","71.1","27.5"
"69","X_N_3_S18_L001","1","X_N_3","22732584","15803864","6195915","69.5","27.3"
"70","X_N_3_S18_L002","2","X_N_3","23907772","16731689","6552444","70.0","27.4"
"71","X_N_3_S18_L003","3","X_N_3","23721151","16497154","6461148","69.5","27.2"
"72","X_N_3_S18_L004","4","X_N_3","23738659","16688757","6531178","70.3","27.5"
