taget_id	GeneID
GB42164-RA	GB42164
GB42163-RA	GB42163
GB42162-RA	GB42162
GB42165-RA	GB42165
GB42161-RA	GB42161
GB42166-RA	GB42166
GB42167-RA	GB42167
GB42160-RA	GB42160
GB42168-RA	GB42168
GB42169-RA	GB42169
GB42170-RA	GB42170
GB42159-RA	GB42159
GB42157-RA	GB42157
GB42171-RA	GB42171
GB42172-RA	GB42172
GB42173-RA	GB42173
GB42174-RA	GB42174
GB42175-RA	GB42175
GB42156-RA	GB42156
GB42155-RA	GB42155
GB42176-RA	GB42176
GB42177-RA	GB42177
GB42154-RA	GB42154
GB42153-RA	GB42153
GB42178-RA	GB42178
GB42152-RA	GB42152
GB42179-RA	GB42179
GB42180-RA	GB42180
GB42151-RA	GB42151
GB42181-RA	GB42181
GB42150-RA	GB42150
GB42149-RA	GB42149
GB42148-RA	GB42148
GB42182-RA	GB42182
GB42147-RA	GB42147
GB42183-RA	GB42183
GB42146-RA	GB42146
GB42184-RA	GB42184
GB42145-RA	GB42145
GB42186-RA	GB42186
GB42187-RA	GB42187
GB42188-RA	GB42188
GB42144-RA	GB42144
GB42189-RA	GB42189
GB42143-RA	GB42143
GB42190-RA	GB42190
GB42191-RA	GB42191
GB42142-RA	GB42142
GB42141-RA	GB42141
GB42192-RA	GB42192
GB42140-RA	GB42140
GB42193-RA	GB42193
GB42139-RA	GB42139
GB42194-RA	GB42194
GB42138-RA	GB42138
GB42195-RA	GB42195
GB40789-RA	GB40789
GB40791-RA	GB40791
GB40792-RA	GB40792
GB40793-RA	GB40793
GB40788-RA	GB40788
GB40787-RA	GB40787
GB40785-RA	GB40785
GB40794-RA	GB40794
GB40784-RA	GB40784
GB40783-RA	GB40783
GB40795-RA	GB40795
GB40796-RA	GB40796
GB40797-RA	GB40797
GB40782-RA	GB40782
GB40798-RA	GB40798
GB40799-RA	GB40799
GB40781-RA	GB40781
GB40800-RA	GB40800
GB40780-RA	GB40780
GB40779-RA	GB40779
GB40778-RA	GB40778
GB40801-RA	GB40801
GB40777-RA	GB40777
GB40776-RA	GB40776
GB40802-RA	GB40802
GB40803-RA	GB40803
GB40775-RA	GB40775
GB40804-RA	GB40804
GB40774-RA	GB40774
GB40805-RA	GB40805
GB40806-RA	GB40806
GB40807-RA	GB40807
GB40773-RA	GB40773
GB40772-RA	GB40772
GB40808-RA	GB40808
GB40771-RA	GB40771
GB40770-RA	GB40770
GB40769-RA	GB40769
GB40768-RA	GB40768
GB40809-RA	GB40809
GB40767-RA	GB40767
GB40766-RA	GB40766
GB40810-RA	GB40810
GB40765-RA	GB40765
GB40764-RA	GB40764
GB40811-RA	GB40811
GB40812-RA	GB40812
GB40814-RA	GB40814
GB40763-RA	GB40763
GB40815-RA	GB40815
GB40762-RA	GB40762
GB40761-RA	GB40761
GB40816-RA	GB40816
GB40760-RA	GB40760
GB40759-RA	GB40759
GB40758-RA	GB40758
GB40817-RA	GB40817
GB40818-RA	GB40818
GB40757-RA	GB40757
GB40819-RA	GB40819
GB40756-RA	GB40756
GB40820-RA	GB40820
GB40755-RA	GB40755
GB40754-RA	GB40754
GB40821-RA	GB40821
GB40822-RA	GB40822
GB40752-RA	GB40752
GB40751-RA	GB40751
GB40750-RA	GB40750
GB40749-RA	GB40749
GB40823-RA	GB40823
GB40748-RA	GB40748
GB40824-RA	GB40824
GB40747-RA	GB40747
GB40746-RA	GB40746
GB40827-RA	GB40827
GB40745-RA	GB40745
GB40828-RA	GB40828
GB40829-RA	GB40829
GB40830-RA	GB40830
GB40744-RA	GB40744
GB40831-RA	GB40831
GB40743-RA	GB40743
GB40741-RA	GB40741
GB40740-RA	GB40740
GB40739-RA	GB40739
GB40738-RA	GB40738
GB40737-RA	GB40737
GB40736-RA	GB40736
GB40735-RA	GB40735
GB40734-RA	GB40734
GB40733-RA	GB40733
GB40833-RA	GB40833
GB40732-RA	GB40732
GB40731-RA	GB40731
GB40730-RA	GB40730
GB40834-RA	GB40834
GB40836-RA	GB40836
GB40837-RA	GB40837
GB40838-RA	GB40838
GB40839-RA	GB40839
GB40841-RA	GB40841
GB40842-RA	GB40842
GB40728-RA	GB40728
GB40843-RA	GB40843
GB40727-RA	GB40727
GB40845-RA	GB40845
GB40846-RA	GB40846
GB40847-RA	GB40847
GB40848-RA	GB40848
GB40849-RA	GB40849
GB40850-RA	GB40850
GB40726-RA	GB40726
GB40851-RA	GB40851
GB40853-RA	GB40853
GB40854-RA	GB40854
GB40855-RA	GB40855
GB40724-RA	GB40724
GB40856-RA	GB40856
GB40857-RA	GB40857
GB40723-RA	GB40723
GB40858-RA	GB40858
GB40722-RA	GB40722
GB40721-RA	GB40721
GB40720-RA	GB40720
GB40859-RA	GB40859
GB40719-RA	GB40719
GB40860-RA	GB40860
