target_id	length	eff_length	est_counts	tpm
rna28331	66	31	1	8.75215
rna28332	63	28	2	19.3798
rna28333	66	31	0	0
rna28334	63	28	0	0
rna28335	70	35	1	7.75191
rna28336	69	34	2	15.9598
gene12361	1002	967	220	61.7267
rna28337	69	34	10	79.799
rna28338	68	33	114.858	944.327
rna28339	72	37	6	43.9973
gene12362	1566	1531	40634	7200.97
rna28340	70	35	2	15.5038
gene12363	678	643	7187	3032.59
rna28341	69	34	0	0
rna28342	69	34	0	0
gene12364	159	124	15	32.8206
gene12365	681	646	250	104.999
gene12366	780	745	687	250.194
rna28343	66	31	1	8.75215
gene12367	354	319	21	17.861
rna28344	67	32	0	0
rna28345	69	34	1	7.9799
rna28346	69	34	0	0
gene12368	1665	1630	1602	266.656
rna28347	68	33	2	16.4434
gene12369	1344	1309	2051	425.111
gene12370	264	229	18	21.3262
rna28348	78	43	3	18.9291
rna28349	68	33	0	0
gene12371	504	469	112	64.7921
gene12372	1152	1117	8064	1958.73
rna28350	67	32	1	8.47865
gene12373	918	883	574	176.371
rna28351	71	36	7	52.756
rna28352	1371	1336	109730	22284.2
rna28353	70	35	9	69.7672
rna28354	786	751	4642	1677.03
rna0	1447	1412	22.3536	4.29525
rna1	835	800	38.5231	13.0649
rna2	1068	1033	10.2474	2.69146
rna3	4225	4190	444.899	28.8087
rna4	4189	4154	122.64	8.01016
rna5	4183	4148	661.578	43.2732
rna6	4099	4064	364.137	24.3102
rna7	4256	4221	583.285	37.4923
rna8	1745	1710	306.714	48.6647
rna9	1848	1813	1314.29	196.684
rna10	1156	1121	285.935	69.2052
rna11	811	776	118.064	41.2794
rna12	2088	2053	215.852	28.5262
rna13	1866	1831	0	0
rna14	1817	1782	0	0
rna15	1761	1726	691.191	108.651
rna16	1767	1732	0.00573494	0.000898375
rna17	2330	2295	237.951	28.1308
rna18	1595	1560	290	50.4371
rna20	1635	1600	139.182	23.6016
rna19	2736	2701	151.623	15.2306
rna21	1102	1067	12	3.05136
rna22	370	335	54.5496	44.1798
rna23	5269	5234	1685.31	87.3622
rna24	709	674	4	1.61019
rna25	1346	1311	159	32.9057
rna29	2262	2227	12.2363	1.49075
rna28	2319	2284	0	0
rna27	2080	2045	248.764	33.0043
rna26	2131	2096	0	0
rna31	2378	2343	3.81527e-005	4.41804e-006
rna30	2797	2762	71.3264	7.00653
rna32	2705	2670	1188.67	120.789
rna34	670	635	8.4106	3.5936
rna33	519	484	69.5894	39.0099
rna35	7543	7508	136	4.91463
rna48	2647	2612	814.895	84.6457
rna47	3942	3907	15.0849	1.04755
rna46	2870	2835	0.00545393	0.000521955
rna45	4248	4213	71.0638	4.5765
rna44	4454	4419	68.7757	4.22267
rna43	3106	3071	127.122	11.231
rna42	2769	2734	0	0
rna40	2940	2905	94.8401	8.85773
rna41	3144	3109	62.73	5.47433
rna38	2843	2808	0	0
rna39	3009	2974	58.7884	5.36324
