target_id	length	eff_length	est_counts	tpm
rna28331	66	31	0	0
rna28332	63	28	1	8.38044
rna28333	66	31	0	0
rna28334	63	28	2	16.7609
rna28335	70	35	0	0
rna28336	69	34	2	13.8031
gene12361	1002	967	415	100.704
rna28337	69	34	9	62.1138
rna28338	68	33	199.976	1421.97
rna28339	72	37	4	25.3678
gene12362	1566	1531	56638	8680.75
rna28340	70	35	5	33.5218
gene12363	678	643	8601	3138.79
rna28341	69	34	1	6.90154
rna28342	69	34	1	6.90154
gene12364	159	124	11	20.8159
gene12365	681	646	348	126.407
gene12366	780	745	952	299.851
rna28343	66	31	1	7.56943
gene12367	354	319	30	22.0676
rna28344	67	32	0	0
rna28345	69	34	0	0
rna28346	69	34	3	20.7046
gene12368	1665	1630	2836	408.266
rna28347	68	33	8	56.8854
gene12369	1344	1309	4140	742.139
gene12370	264	229	45	46.1107
rna28348	78	43	2	10.9141
rna28349	68	33	3	21.332
gene12371	504	469	224	112.073
gene12372	1152	1117	10525	2211.03
rna28350	67	32	1	7.33288
gene12373	918	883	1071	284.612
rna28351	71	36	8	52.1449
rna28352	1371	1336	161740	28407.7
rna28353	70	35	8	53.6348
rna28354	786	751	5529	1727.55
rna0	1447	1412	38.3655	6.37574
rna1	835	800	10.0587	2.95038
rna2	1068	1033	41.548	9.43789
rna3	4225	4190	829.103	46.4322
rna4	4189	4154	139.001	7.85193
rna5	4183	4148	876.526	49.5851
rna6	4099	4064	5.06858e-006	2.92656e-007
rna7	4256	4221	691.643	38.4496
rna8	1745	1710	444.868	61.0463
rna9	1848	1813	1341.13	173.58
rna10	1156	1121	341.459	71.4755
rna11	811	776	168.629	50.9912
rna12	2088	2053	200.576	22.9253
rna13	1866	1831	0	0
rna14	1817	1782	0	0
rna15	1761	1726	840.827	114.312
rna16	1767	1732	89.0961	12.0708
rna17	2330	2295	257.414	26.3192
rna18	1595	1560	483	72.6519
rna20	1635	1600	225.631	33.0905
rna19	2736	2701	233.97	20.3264
rna21	1102	1067	17	3.7386
rna22	370	335	68.9459	48.2935
rna23	5269	5234	2104.07	94.3303
rna24	709	674	2	0.696298
rna25	1346	1311	163	29.1749
rna29	2262	2227	24.4725	2.5786
rna28	2319	2284	0	0
rna27	2080	2045	263.527	30.2383
rna26	2131	2096	0	0
rna31	2378	2343	355.743	35.6278
rna30	2797	2762	29.9671	2.54592
rna32	2705	2670	1221.29	107.333
rna34	670	635	0	0
rna33	519	484	123	59.6327
rna35	7543	7508	171	5.34437
rna48	2647	2612	620.933	55.7823
rna47	3942	3907	21.1189	1.26839
rna46	2870	2835	6.65186	0.550573
rna45	4248	4213	365.74	20.3707
rna44	4454	4419	2.82814	0.150176
rna43	3106	3071	76.8178	5.86958
rna42	2769	2734	0	0
rna40	2940	2905	40.9061	3.3042
rna41	3144	3109	4.61187	0.348081
rna38	2843	2808	0	0
rna39	3009	2974	141.352	11.1528
rna37	3214	3179	10.6151	0.783533
rna36	3212	3177	89.0272	6.57552
rna49	84	49	0	0
rna50	23	24	0	0
rna51	89	54	0	0
rna53	78	43	0	0
rna52	23	24	0	0
rna54	24	25	0	0
rna55	79	44	0	0
rna56	23	24	0	0
rna57	100	65	0	0
rna58	21	22	0	0
rna59	100	65	0	0
rna60	23	24	0	0
rna61	100	65	0	0
rna62	19	20	0	0
rna63	2794	2759	126.848	10.7884
rna64	2208	2173	107.799	11.6407
rna65	2212	2177	10.353	1.11592
rna66	14474	14439	0	0
rna67	14423	14388	38.2367	0.623597
rna68	14444	14409	1.27228e-008	2.07193e-010
rna69	14417	14382	1.38781e-007	2.2643e-009
rna70	14453	14418	139.333	2.26763
rna71	14407	14372	47.721	0.779143
rna72	14356	14321	43.6549	0.715294
rna73	14266	14231	142.275	2.34594
rna74	14458	14423	2.01631e-005	3.28041e-007
rna75	14395	14360	454.411	7.42539
rna76	14316	14281	0.037126	0.00061002
rna77	14300	14265	485.24	7.98195
rna78	14089	14054	1060.09	17.6998
rna83	6159	6124	84.8653	3.25177
rna81	4544	4509	78.0769	4.06319
rna82	4606	4571	219.247	11.255
rna80	4421	4386	1311.81	70.1823
rna79	4544	4509	0	0
rna84	1474	1439	2.40634	0.392392
rna85	4011	3976	748.246	44.1594
rna86	4332	4297	4.00793e-008	2.18866e-009
rna87	5550	5515	10.9683	0.466679
rna88	5530	5495	37.619	1.60644
rna89	4942	4907	1840	87.9886
rna91	2164	2129	6.51408	0.717963
rna92	88	53	7.65812	33.9056
rna93	23	24	0	0
rna90	4161	4126	55.825	3.17486
rna94	1791	1756	2	0.267258
rna95	7798	7763	1150.38	34.7726
rna96	1263	1228	174.317	33.3094
rna97	1507	1472	0	0
rna98	147	112	0	0
rna99	1089	1054	12	2.67156
rna100	3465	3430	1297.68	88.7765
rna101	3014	2979	297.32	23.4195
rna102	2233	2198	1133.74	121.035
rna103	556	521	0	0
rna104	937	902	0	0
rna106	2689	2654	294.859	26.0699
rna105	2799	2764	109.833	9.32439
rna107	4147	4112	459.26	26.2078
rna108	3811	3776	225.74	14.0282
rna109	135	100	0	0
rna110	21	22	0	0
rna113	1684	1649	712.649	101.41
rna112	1416	1381	0.000890632	0.000151332
rna111	1532	1497	638.351	100.06
rna114	1231	1196	173	33.9422
rna118	2623	2588	6.24983	0.566668
rna117	2429	2394	32.6319	3.19848
rna115	2665	2630	1009.12	90.0349
rna116	2757	2722	0	0
rna119	443	408	42	24.1554
