target_id	length	eff_length	est_counts	tpm
rna28331	66	31	0	0
rna28332	63	28	2	17.014
rna28333	66	31	0	0
rna28334	63	28	2	17.014
rna28335	70	35	5	34.028
rna28336	69	34	7	49.0404
gene12361	1002	967	436	107.398
rna28337	69	34	12	84.0692
rna28338	68	33	303.963	2194.02
rna28339	72	37	7	45.0641
gene12362	1566	1531	58730	9137.33
rna28340	70	35	4	27.2224
gene12363	678	643	12899	4778.37
rna28341	69	34	4	28.0231
rna28342	69	34	1	7.00577
gene12364	159	124	10	19.2094
gene12365	681	646	349	128.685
gene12366	780	745	1040	332.515
rna28343	66	31	2	15.3675
gene12367	354	319	34	25.3877
rna28344	67	32	5	37.2181
rna28345	69	34	1	7.00577
rna28346	69	34	0	0
gene12368	1665	1630	2264	330.844
rna28347	68	33	4	28.8722
gene12369	1344	1309	3592	653.629
gene12370	264	229	35	36.4055
rna28348	78	43	2	11.0789
rna28349	68	33	3	21.6542
gene12371	504	469	285	144.746
gene12372	1152	1117	13284	2832.76
rna28350	67	32	1	7.44363
gene12373	918	883	1141	307.793
rna28351	71	36	9	59.549
rna28352	1371	1336	211209	37656.6
rna28353	70	35	6	40.8336
rna28354	786	751	6322	2005.16
rna0	1447	1412	57.6797	9.73023
rna1	835	800	57.4654	17.11
rna2	1068	1033	0	0
rna3	4225	4190	428.527	24.3612
rna4	4189	4154	799.6	45.8502
rna5	4183	4148	409.777	23.5311
rna6	4099	4064	0.000479576	2.81085e-005
rna7	4256	4221	713.475	40.2622
rna8	1745	1710	517.956	72.1492
rna9	1848	1813	1491.04	195.897
rna10	1156	1121	411.355	87.4069
rna11	811	776	143.245	43.9695
rna12	2088	2053	254.253	29.4993
rna13	1866	1831	0	0
rna14	1817	1782	0	0
rna15	1761	1726	671.789	92.71
rna16	1767	1732	7.34962	1.01077
rna17	2330	2295	285.008	29.5808
rna18	1595	1560	347	52.9833
rna20	1635	1600	153.539	22.8577
rna19	2736	2701	118.947	10.4897
rna21	1102	1067	13	2.90211
rna22	370	335	42.6825	30.3487
rna23	5269	5234	1676.06	76.2764
rna24	709	674	6	2.12044
rna25	1346	1311	247	44.8775
rna29	2262	2227	12.2363	1.30877
rna28	2319	2284	0	0
rna27	2080	2045	355.764	41.4384
rna26	2131	2096	0	0
rna31	2378	2343	7.49588e-007	7.62052e-008
rna30	2797	2762	0	0
rna32	2705	2670	1265	112.853
rna34	670	635	0	0
rna33	519	484	187	92.0303
rna35	7543	7508	191	6.0596
rna48	2647	2612	903.008	82.348
rna47	3942	3907	45.2548	2.75903
rna46	2870	2835	5.88494e-007	4.94452e-008
rna45	4248	4213	96.3045	5.4449
rna44	4454	4419	150.16	8.09404
rna43	3106	3071	141.899	11.0061
rna42	2769	2734	0	0
rna40	2940	2905	0.000307973	2.52523e-005
rna41	3144	3109	0	0
rna38	2843	2808	0	0
rna39	3009	2974	203.672	16.3127
rna37	3214	3179	5.19054e-006	3.88917e-007
rna36	3212	3177	0	0
rna49	84	49	1	4.86114
rna50	23	24	0	0
rna51	89	54	1	4.41104
rna53	78	43	0	0
rna52	23	24	0	0
rna54	24	25	0	0
rna55	79	44	0	0
rna56	23	24	0	0
rna57	100	65	0	0
rna58	21	22	0	0
rna59	100	65	0	0
rna60	23	24	0	0
rna61	100	65	2	7.32911
rna62	19	20	0	0
rna63	2794	2759	211.898	18.294
rna64	2208	2173	1.67668	0.183791
rna65	2212	2177	55.5587	6.07895
rna66	14474	14439	3.88253e-008	6.4049e-010
rna67	14423	14388	85.6448	1.41787
