target_id	length	eff_length	est_counts	tpm
rna28331	66	31	0	0
rna28332	63	28	0	0
rna28333	66	31	0	0
rna28334	63	28	0	0
rna28335	70	35	0	0
rna28336	69	34	10	58.242
gene12361	1002	967	359	73.5162
rna28337	69	34	5	29.121
rna28338	68	33	159.831	959.098
rna28339	72	37	16	85.6315
gene12362	1566	1531	87152	11272.4
rna28340	70	35	2	11.3156
gene12363	678	643	16162	4977.36
rna28341	69	34	1	5.8242
rna28342	69	34	3	17.4726
gene12364	159	124	4	6.38783
gene12365	681	646	282	86.4434
gene12366	780	745	786	208.921
rna28343	66	31	4	25.5513
gene12367	354	319	37	22.9682
rna28344	67	32	5	30.9411
rna28345	69	34	0	0
rna28346	69	34	0	0
gene12368	1665	1630	2749	333.966
rna28347	68	33	1	6.00069
gene12369	1344	1309	3550	537.037
gene12370	264	229	25	21.6182
rna28348	78	43	3	13.8155
rna28349	68	33	2	12.0014
gene12371	504	469	142	59.9557
gene12372	1152	1117	17148	3040.01
rna28350	67	32	0	0
gene12373	918	883	1061	237.941
rna28351	71	36	9	49.5057
rna28352	1371	1336	203732	30197.3
rna28353	70	35	10	56.578
rna28354	786	751	5421	1429.4
rna0	1447	1412	56.0298	7.85777
rna1	835	800	21.4696	5.31435
rna2	1068	1033	20.9045	4.00733
rna3	4225	4190	717.295	33.9
rna4	4189	4154	555.14	26.4638
rna5	4183	4148	774.499	36.9741
rna6	4099	4064	130.292	6.34863
rna7	4256	4221	863.764	40.5224
rna8	1745	1710	399.138	46.2213
rna9	1848	1813	1704.86	186.212
rna10	1156	1121	450.034	79.4978
rna11	811	776	260.469	66.4675
rna12	2088	2053	333.369	32.1552
rna13	1866	1831	0	0
rna14	1817	1782	0	0
rna15	1761	1726	762.625	87.4955
rna16	1767	1732	138.957	15.8872
rna17	2330	2295	310.545	26.7952
rna18	1595	1560	446	56.6142
rna20	1635	1600	193.59	23.9596
rna19	2736	2701	147.559	10.8182
rna21	1102	1067	18	3.34059
rna22	370	335	41.3291	24.4302
rna23	5269	5234	2052.4	77.6506
rna24	709	674	4	1.17521
rna25	1346	1311	257	38.8191
rna29	2262	2227	0	0
rna28	2319	2284	0	0
rna27	2080	2045	495	47.9322
rna26	2131	2096	0	0
rna31	2378	2343	0.00278318	0.000235225
rna30	2797	2762	42.6638	3.0588
rna32	2705	2670	1567.33	116.243
rna34	670	635	0	0
rna33	519	484	172	70.3718
rna35	7543	7508	238	6.27723
rna48	2647	2612	1056.47	80.094
rna47	3942	3907	51.2896	2.59957
rna46	2870	2835	1.22607	0.0856403
rna45	4248	4213	132.403	6.22332
rna44	4454	4419	211.846	9.49318
rna43	3106	3071	199.482	12.8629
rna42	2769	2734	0	0
rna40	2940	2905	8.35024e-006	5.69204e-007
rna41	3144	3109	2.75284e-005	1.75338e-006
rna38	2843	2808	0	0
rna39	3009	2974	167.351	11.143
rna37	3214	3179	122.164	7.60974
rna36	3212	3177	5.36067e-005	3.34131e-006
rna49	84	49	1	4.04128
rna50	23	24	0	0
rna51	89	54	0	0
rna53	78	43	0	0
rna52	23	24	0	0
rna54	24	25	0	0
rna55	79	44	0	0
rna56	23	24	0	0
rna57	100	65	0	0
rna58	21	22	0	0
rna59	100	65	1	3.04651
rna60	23	24	0	0
rna61	100	65	0	0
rna62	19	20	0	0
rna63	2794	2759	248.166	17.8117
rna64	2208	2173	60.4782	5.5113
rna65	2212	2177	6.35606	0.578155
rna66	14474	14439	0	0
rna67	14423	14388	44.7877	0.616415
rna68	14444	14409	46.9661	0.645455
rna69	14417	14382	1.98905e-008	2.73868e-010
rna70	14453	14418	0	0
rna71	14407	14372	4.80733e-008	6.62372e-010
rna72	14356	14321	2.25048e-008	3.11184e-010
rna73	14266	14231	186.658	2.59732
rna74	14458	14423	1.03982e-006	1.42764e-008
rna75	14395	14360	634.398	8.74828
rna76	14316	14281	1.76348	0.0244527
rna77	14300	14265	955.069	13.258
rna78	14089	14054	815.358	11.4885
rna83	6159	6124	137.496	4.446
rna81	4544	4509	287.306	12.6177
rna82	4606	4571	1.55915e-005	6.75446e-007
rna80	4421	4386	1718.28	77.5786
rna79	4544	4509	35.9133	1.57721
rna84	1474	1439	21.3766	2.94166
rna85	4011	3976	877.733	43.7151
rna86	4332	4297	0	0
rna87	5550	5515	0	0
rna88	5530	5495	79.0063	2.84714
rna89	4942	4907	1669.18	67.3599
rna91	2164	2129	8.29343	0.77139
rna92	88	53	0	0
rna93	23	24	0	0
rna90	4161	4126	47.8405	2.29605
rna94	1791	1756	0	0
rna95	7798	7763	1471.23	37.5288
rna96	1263	1228	138.214	22.2879
rna97	1507	1472	0	0
rna98	147	112	11.3942	20.1456
rna99	1089	1054	12	2.25453
rna100	3465	3430	1178.97	68.0647
rna101	3014	2979	684.035	45.4698
rna102	2233	2198	1807.93	162.88
rna103	556	521	1	0.380082
rna104	937	902	2	0.439075
rna106	2689	2654	235.168	17.5465
rna105	2799	2764	165.601	11.8643
rna107	4147	4112	603.061	29.0418
rna108	3811	3776	154.939	8.12538
rna109	135	100	0	0
rna110	21	22	0	0
rna113	1684	1649	767.808	92.2035
rna112	1416	1381	360.336	51.6688
rna111	1532	1497	482.856	63.8722
rna114	1231	1196	211	34.9355
rna118	2623	2588	22.0887	1.69013
rna117	2429	2394	30.4015	2.5147
rna115	2665	2630	982.51	73.977
rna116	2757	2722	0	0
rna119	443	408	45	21.8408
rna120	2938	2903	754.074	51.4378
rna121	3327	3292	0	0
