target_id	length	eff_length	est_counts	tpm
rna28331	66	31	0	0
rna28332	63	28	0	0
rna28333	66	31	2	9.10742
rna28334	63	28	2	10.0832
rna28335	70	35	3	12.0999
rna28336	69	34	4	16.6076
gene12361	1002	967	889	129.778
rna28337	69	34	23	95.494
rna28338	68	33	570.93	2442.28
rna28339	72	37	14	53.4138
gene12362	1566	1531	103074	9503.88
rna28340	70	35	6	24.1997
gene12363	678	643	21142	4641.54
rna28341	69	34	2	8.30382
rna28342	69	34	2	8.30382
gene12364	159	124	26	29.5991
gene12365	681	646	660	144.224
gene12366	780	745	1590	301.278
rna28343	66	31	3	13.6611
gene12367	354	319	76	33.6318
rna28344	67	32	5	22.057
rna28345	69	34	0	0
rna28346	69	34	0	0
gene12368	1665	1630	3896	337.41
rna28347	68	33	9	38.4995
gene12369	1344	1309	6426	692.992
gene12370	264	229	68	41.918
rna28348	78	43	3	9.84872
rna28349	68	33	1	4.27773
gene12371	504	469	336	101.133
gene12372	1152	1117	19939	2519.86
rna28350	67	32	1	4.41141
gene12373	918	883	1492	238.526
rna28351	71	36	12	47.055
rna28352	1371	1336	308408	32587.1
rna28353	70	35	16	64.5326
rna28354	786	751	8053	1513.72
rna0	1447	1412	83.463	8.34423
rna1	835	800	98.5002	17.381
rna2	1068	1033	20.8985	2.85589
rna3	4225	4190	1451.79	48.9122
rna4	4189	4154	983.033	33.4063
rna5	4183	4148	38.229	1.30101
rna6	4099	4064	202.737	7.04216
rna7	4256	4221	1148.41	38.407
rna8	1745	1710	681.288	56.2421
rna9	1848	1813	2226.71	173.378
rna10	1156	1121	523.22	65.8879
rna11	811	776	278.807	50.7188
rna12	2088	2053	330.338	22.7141
rna13	1866	1831	0	0
rna14	1817	1782	10.6777	0.845859
rna15	1761	1726	985.099	80.5686
rna16	1767	1732	189.431	15.4394
rna17	2330	2295	417.428	25.6759
rna18	1595	1560	683	61.8049
rna20	1635	1600	255.694	22.5594
rna19	2736	2701	216.597	11.3202
rna21	1102	1067	22	2.91062
rna22	370	335	65.7679	27.7138
rna23	5269	5234	2809.94	75.7861
rna24	709	674	7	1.46611
rna25	1346	1311	329	35.4258
rna29	2262	2227	12.2363	0.775632
rna28	2319	2284	0	0
rna27	2080	2045	538.764	37.1905
rna26	2131	2096	0	0
rna31	2378	2343	89.3159	5.38126
rna30	2797	2762	86.3562	4.41364
rna32	2705	2670	1754.33	92.7527
rna34	670	635	0	0
rna33	519	484	264	76.9991
rna35	7543	7508	303	5.69699
rna48	2647	2612	1192.98	64.4743
rna47	3942	3907	42.2379	1.52611
rna46	2870	2835	33.608	1.67346
rna45	4248	4213	460.509	15.4303
rna44	4454	4419	5.17056e-005	1.65174e-006
rna43	3106	3071	200.513	9.21702
rna42	2769	2734	22.4101	1.1571
rna40	2940	2905	188.68	9.16867
rna41	3144	3109	6.32475e-006	2.87177e-007
rna38	2843	2808	0	0
rna39	3009	2974	21.2329	1.00785
rna37	3214	3179	7.69833e-007	3.41848e-008
rna36	3212	3177	119.15	5.29424
rna49	84	49	0	0
rna50	23	24	0	0
rna51	89	54	0	0
rna53	78	43	0	0
rna52	23	24	0	0
rna54	24	25	0	0
rna55	79	44	0	0
rna56	23	24	0	0
rna57	100	65	0	0
rna58	21	22	0	0
rna59	100	65	0	0
rna60	23	24	0	0
rna61	100	65	0	0
rna62	19	20	0	0
rna63	2794	2759	225.646	11.5452
rna64	2208	2173	118.838	7.7201
rna65	2212	2177	11.8191	0.766394
rna66	14474	14439	0	0
rna67	14423	14388	0	0
rna68	14444	14409	0	0
rna69	14417	14382	0	0
rna70	14453	14418	86.3974	0.845908
rna71	14407	14372	132.708	1.30349
rna72	14356	14321	124.348	1.22572
rna73	14266	14231	286.109	2.83807
rna74	14458	14423	5.07395e-006	4.96612e-008
rna75	14395	14360	687.039	6.75389
rna76	14316	14281	0.0406053	0.000401375
rna77	14300	14265	1036.72	10.2593
rna78	14089	14054	1624.64	16.3186
rna83	6159	6124	169.788	3.91379
rna81	4544	4509	223.247	6.98929
rna82	4606	4571	341.408	10.5436
rna80	4421	4386	2020.56	65.0324
rna79	4544	4509	0	0
rna84	1474	1439	39.175	3.84304
rna85	4011	3976	1142.39	40.5597
rna86	4332	4297	0	0
rna87	5550	5515	0	0
rna88	5530	5495	38.8469	0.997966
rna89	4942	4907	2076.64	59.741
rna91	2164	2129	4.18653	0.277591
rna92	88	53	0	0
rna93	23	24	0	0
rna90	4161	4126	196.857	6.73517
rna94	1791	1756	3.00972	0.241951
rna95	7798	7763	1902.39	34.5938
rna96	1263	1228	148.51	17.072
rna97	1507	1472	2.02754	0.194441
rna98	147	112	14.4551	18.2192
rna99	1089	1054	18	2.41079
rna100	3465	3430	1663.96	68.4819
rna101	3014	2979	698.039	33.0778
rna102	2233	2198	2433.45	156.286
rna103	556	521	0	0
rna104	937	902	7	1.09552
rna106	2689	2654	305.458	16.2472
rna105	2799	2764	235.175	12.011
rna107	4147	4112	717.441	24.6298
rna108	3811	3776	246.559	9.21755
rna109	135	100	1	1.41165
rna110	21	22	0	0
rna113	1684	1649	1301.62	111.427
rna112	1416	1381	237.093	24.2355
rna111	1532	1497	881.285	83.104
rna114	1231	1196	297	35.0552
rna118	2623	2588	0	0
rna117	2429	2394	70.7475	4.17171
rna115	2665	2630	1096.25	58.8412
rna116	2757	2722	0	0
rna119	443	408	66	22.8355
rna120	2938	2903	1007.26	48.9805
rna121	3327	3292	0	0
rna122	3374	3339	432.737	18.2951
